Time (ms),AVG
0,-0.009448819
0.0125,-0.030163003
0.025,0.105704089
0.0375,0.369835368
0.05,0.633224485
0.0625,0.811818817
0.075,0.879308289
0.0875,0.847180087
0.1,0.742631037
0.1125,0.596504229
0.125,0.43431809
0.1375,0.275562709
0.15,0.131370499
0.1625,0.007720839
0.175,-0.09330101
0.1875,-0.17243468
0.2,-0.247498469
0.2125,-0.276524868
0.225,-0.442305864
0.2375,-0.722677017
0.25,-0.993386049
0.2625,-1.174096464
0.275,-1.240295692
0.2875,-1.204616097
0.3,-1.094857183
0.3125,-0.942711493
0.325,-0.773978615
0.3375,-0.608268477
0.35,-0.456120628
0.3625,-0.324615402
0.375,-0.215536109
0.3875,-0.128831871
0.4,-0.061402538
0.4125,-0.010542074
0.425,0.026906686
0.4375,0.053261725
0.45,0.071466603
0.4625,0.083248648
0.475,0.090804806
0.4875,0.094536149
0.5,0.096046968
0.5125,0.095872006
0.525,0.09491912
0.5375,0.093206733
0.55,0.090808542
0.5625,0.088431029
0.575,0.085814715
0.5875,0.083294514
0.6,0.080533837
0.6125,0.077867663
0.625,0.075166444
0.6375,0.07250916
0.65,0.069862827
0.6625,0.067479452
0.675,0.064709499
0.6875,0.062387902
0.7,0.060033645
0.7125,0.057965408
0.725,0.055716669
0.7375,0.053738039
0.75,0.051519513
0.7625,0.049429052
0.775,0.047325062
0.7875,0.045448472
0.8,0.043473257
0.8125,0.041753269
0.825,0.039588726
0.8375,0.037719802
0.85,0.035695564
0.8625,0.034045535
0.875,0.032422949
0.8875,0.03061941
0.9,0.029011383
0.9125,0.027419074
0.925,0.025974671
0.9375,0.024353052
0.95,0.02296624
0.9625,0.021583293
0.975,0.020406615
0.9875,0.018838012
1,0.017683688
1.0125,0.016221377
1.025,0.01512999
1.0375,0.01362381
1.05,0.012522052
1.0625,0.011160878
1.075,0.010210118
1.0875,0.009082077
1.1,0.008400524
1.1125,0.007438555
1.125,0.006818909
1.1375,0.00569338
1.15,0.004898385
1.1625,0.003974488
1.175,0.003168993
1.1875,0.002086367
1.2,0.001268697
1.2125,0.000332174
1.225,-0.000431385
1.2375,-0.001421054
1.25,-0.002144415
1.2625,-0.002865263
1.275,-0.003428349
1.2875,-0.004139084
1.3,-0.004744365
1.3125,-0.005345652
1.325,-0.005893278
1.3375,-0.006297507
1.35,-0.006905365
1.3625,-0.007481593
1.375,-0.008174354
1.3875,-0.008670059
1.4,-0.009396125
1.4125,-0.009750107
1.425,-0.010221783
1.4375,-0.010256956
1.45,-0.010717359
1.4625,-0.010914803
1.475,-0.011564984
1.4875,-0.011720233
1.5,-0.012141083
1.5125,-0.012234168
1.525,-0.0127329
1.5375,-0.013081149
1.55,-0.013476166
1.5625,-0.013800902
1.575,-0.014440132
1.5875,-0.014705345
1.6,-0.015066929
1.6125,-0.015289819
1.625,-0.015437016
1.6375,-0.015320353
1.65,-0.015399911
1.6625,-0.015508843
1.675,-0.015695851
1.6875,-0.015894133
1.7,-0.016196194
1.7125,-0.016551142
1.725,-0.016671091
1.7375,-0.016881547
1.75,-0.017001689
1.7625,-0.017431041
1.775,-0.017579785
1.7875,-0.017849378
1.8,-0.017867673
1.8125,-0.018115493
1.825,-0.01792069
1.8375,-0.01817959
1.85,-0.0180599
1.8625,-0.018584206
1.875,-0.018533572
1.8875,-0.01873894
1.9,-0.018633229
1.9125,-0.019007825
1.925,-0.018987404
1.9375,-0.019202241
1.95,-0.019128353
1.9625,-0.019298677
1.975,-0.019164878
1.9875,-0.019237221
2,-0.019227429
2.0125,-0.019347635
2.025,-0.019503787
2.0375,-0.01962483
2.05,-0.019666058
2.0625,-0.019704194
2.075,-0.019766874
2.0875,-0.019877932
2.1,-0.019964125
2.1125,-0.020042394
2.125,-0.020210334
2.1375,-0.020131292
2.15,-0.020464274
2.1625,-0.020336145
2.175,-0.020579777
2.1875,-0.020398309
2.2,-0.020399984
2.2125,-0.020280422
2.225,-0.02050853
2.2375,-0.020500284
2.25,-0.020851754
2.2625,-0.020618557
2.275,-0.020943487
2.2875,-0.021039729
2.3,-0.02129631
2.3125,-0.02106176
2.325,-0.021121025
2.3375,-0.020974666
2.35,-0.021119351
2.3625,-0.021216108
2.375,-0.021369425
2.3875,-0.021332384
2.4,-0.02145536
2.4125,-0.021431718
2.425,-0.021343722
2.4375,-0.021380119
2.45,-0.021208249
2.4625,-0.021117998
2.475,-0.021019372
2.4875,-0.021217074
2.5,-0.020986325
2.5125,-0.02109558
2.525,-0.021351452
2.5375,-0.021845159
2.55,-0.021568995
2.5625,-0.021691971
2.575,-0.021543678
2.5875,-0.021748982
2.6,-0.021482803
2.6125,-0.021664142
2.625,-0.021397512
2.6375,-0.021514948
2.65,-0.021332642
2.6625,-0.021509923
2.675,-0.021544129
2.6875,-0.021616858
2.7,-0.02134398
2.7125,-0.021350744
2.725,-0.021332642
2.7375,-0.021690683
2.75,-0.021645074
2.7625,-0.021641789
2.775,-0.021647457
2.7875,-0.021792787
2.8,-0.021631288
2.8125,-0.021398092
2.825,-0.021511147
2.8375,-0.021617631
2.85,-0.02164881
2.8625,-0.021611898
2.875,-0.02195203
2.8875,-0.02203964
2.9,-0.022204939
2.9125,-0.021869896
2.925,-0.021815333
2.9375,-0.021705306
2.95,-0.021798198
2.9625,-0.021645332
2.975,-0.02195931
2.9875,-0.021890639
3,-0.022149024
3.0125,-0.021785314
3.025,-0.021702665
3.0375,-0.021588256
3.05,-0.021776102
3.0625,-0.021563069
3.075,-0.021487376
3.0875,-0.021409945
3.1,-0.021583489
3.1125,-0.021555918
3.125,-0.021553857
3.1375,-0.021505156
3.15,-0.021662854
3.1625,-0.021863776
3.175,-0.021832276
3.1875,-0.021796136
3.2,-0.021692486
3.2125,-0.021862037
3.225,-0.021518813
3.2375,-0.021362661
3.25,-0.020952956
3.2625,-0.021145376
3.275,-0.020931891
3.2875,-0.021092423
3.3,-0.021152269
3.3125,-0.021624653
3.325,-0.021700796
3.3375,-0.021839168
3.35,-0.02161499
3.3625,-0.02195538
3.375,-0.021815076
3.3875,-0.021931545
3.4,-0.021643528
3.4125,-0.021731267
3.425,-0.021569188
3.4375,-0.021656669
3.45,-0.021598435
3.4625,-0.021634445
3.475,-0.021831438
3.4875,-0.022007237
3.5,-0.021873246
3.5125,-0.021875823
3.525,-0.021933349
3.5375,-0.021903781
3.55,-0.021831567
3.5625,-0.021799164
3.575,-0.022006271
3.5875,-0.021836527
3.6,-0.021942754
3.6125,-0.021904811
3.625,-0.02193541
3.6375,-0.021655445
3.65,-0.021725855
3.6625,-0.021673612
3.675,-0.021844837
3.6875,-0.021826413
3.7,-0.022215569
3.7125,-0.022026821
3.725,-0.022131888
3.7375,-0.022098133
3.75,-0.022397101
3.7625,-0.022349882
3.775,-0.022330041
3.7875,-0.022124609
3.8,-0.022001762
3.8125,-0.021936763
3.825,-0.021964914
3.8375,-0.022121195
3.85,-0.022233735
3.8625,-0.022246168
3.875,-0.022208418
3.8875,-0.022059997
3.9,-0.021798456
3.9125,-0.021977927
3.925,-0.021999056
3.9375,-0.022207967
3.95,-0.022027658
3.9625,-0.021851537
3.975,-0.021690425
3.9875,-0.021728239
4,-0.02167213
4.0125,-0.02177971
4.025,-0.021841938
4.0375,-0.021847285
4.05,-0.021607518
4.0625,-0.021842454
4.075,-0.021623107
4.0875,-0.021754715
4.1,-0.021631288
4.1125,-0.021730429
4.125,-0.021655896
4.1375,-0.021684563
4.15,-0.021557013
4.1625,-0.021558173
4.175,-0.021545031
4.1875,-0.02150522
4.2,-0.021276984
4.2125,-0.021259397
4.225,-0.021310739
4.2375,-0.021336636
4.25,-0.021433715
4.2625,-0.021405629
4.275,-0.021404791
4.2875,-0.021135649
4.3,-0.021103439
4.3125,-0.021119544
4.325,-0.020994829
4.3375,-0.020909216
4.35,-0.021025299
4.3625,-0.021085917
4.375,-0.021207154
4.3875,-0.0212746
4.4,-0.021472238
4.4125,-0.02141819
4.425,-0.021596502
4.4375,-0.02153073
4.45,-0.021698284
4.4625,-0.021756326
4.475,-0.021898563
4.4875,-0.022090789
4.5,-0.022216019
4.5125,-0.022136462
4.525,-0.02225976
4.5375,-0.022215569
4.55,-0.022310393
4.5625,-0.022244879
4.575,-0.022160361
4.5875,-0.022015934
4.6,-0.022083445
4.6125,-0.02215276
4.625,-0.022047628
4.6375,-0.022068113
4.65,-0.022112563
4.6625,-0.02227361
4.675,-0.022315225
4.6875,-0.022567103
4.7,-0.022414623
4.7125,-0.022508031
4.725,-0.022429246
4.7375,-0.022464548
4.75,-0.022277668
4.7625,-0.022178463
4.775,-0.022039254
4.7875,-0.021973611
4.8,-0.021832533
4.8125,-0.022011489
4.825,-0.021901075
4.8375,-0.022135818
4.85,-0.02213395
4.8625,-0.022253189
4.875,-0.022058966
4.8875,-0.022072752
4.9,-0.021887805
4.9125,-0.021927036
4.925,-0.021842776
4.9375,-0.021785894
4.95,-0.021998348
4.9625,-0.021997124
4.975,-0.021739512
4.9875,-0.021587032
5,-0.021634509
5.0125,-0.021651902
5.025,-0.021657249
5.0375,-0.021430752
5.05,-0.021509343
5.0625,-0.021577176
5.075,-0.021495557
5.0875,-0.021325491
5.1,-0.021354995
5.1125,-0.021354738
5.125,-0.021298886
5.1375,-0.021288579
5.15,-0.021385401
5.1625,-0.021334317
5.175,-0.021336571
5.1875,-0.021241875
5.2,-0.021450013
5.2125,-0.02134063
5.225,-0.021179131
5.2375,-0.021284907
5.25,-0.021411362
5.2625,-0.021557593
5.275,-0.021659761
