Time (ms),Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,AVG
0,-0.003884305,-0.003117719,-0.00440932,-0.003072626,-0.006699416,-0.004236677
0.0125,-0.165585592,-0.165414881,-0.166526108,-0.165253834,-0.167835424,-0.166123168
0.025,-0.338212239,-0.338236396,-0.33940721,-0.339088337,-0.341534645,-0.339295766
0.0375,-0.249248087,-0.248434798,-0.24983913,-0.249948643,-0.251467319,-0.249787595
0.05,0.00780452,0.008527624,0.007134563,0.006822131,0.005222929,0.007102353
0.0625,0.303392918,0.303869619,0.30296292,0.302202775,0.301014243,0.302688495
0.075,0.548359624,0.549483739,0.548052022,0.547488354,0.545836002,0.547843948
0.0875,0.703550425,0.705478172,0.703444133,0.702825708,0.702067171,0.703473122
0.1,0.763814687,0.766497752,0.763735773,0.76382435,0.762613266,0.764097165
0.1125,0.744300465,0.74665338,0.744083049,0.743609568,0.743936495,0.744516591
0.125,0.665654173,0.66811821,0.664491405,0.66527732,0.664895636,0.665687349
0.1375,0.551772232,0.552651554,0.550071564,0.550229392,0.550524109,0.55104977
0.15,0.419384379,0.420360329,0.418827153,0.418390713,0.417395438,0.418871602
0.1625,0.283862659,0.2838997,0.284400558,0.283265172,0.282880268,0.283661671
0.175,0.155651001,0.155911899,0.155676769,0.155454523,0.15398899,0.155336637
0.1875,0.039353726,0.040018853,0.038828711,0.039337622,0.039406872,0.039389157
0.2,-0.075742073,-0.074758073,-0.077508763,-0.076101209,-0.077061051,-0.076234234
0.2125,-0.019908531,-0.019559058,-0.022694652,-0.020220963,-0.021119607,-0.020700562
0.225,0.086262041,0.087294356,0.082659408,0.085778899,0.084620967,0.085323134
0.2375,-0.050414141,-0.050278861,-0.053308164,-0.050943987,-0.051506043,-0.051290239
0.25,-0.340549036,-0.339817881,-0.343138676,-0.34120933,-0.341906664,-0.341324317
0.2625,-0.659686738,-0.660029769,-0.661422828,-0.660780249,-0.660962233,-0.660576363
0.275,-0.922118058,-0.923255051,-0.923530442,-0.923263104,-0.923982985,-0.923229928
0.2875,-1.090265918,-1.091687966,-1.090674978,-1.091237033,-1.091853845,-1.091143948
0.3,-1.159134586,-1.159227994,-1.159260203,-1.159836753,-1.160859403,-1.159663788
0.3125,-1.143777112,-1.14410887,-1.143959096,-1.145184666,-1.145228149,-1.144451578
0.325,-1.06650983,-1.066662824,-1.068067157,-1.068305507,-1.06879187,-1.067667438
0.3375,-0.950943908,-0.951723377,-0.952572096,-0.953562536,-0.954056952,-0.952571774
0.35,-0.81575762,-0.81644046,-0.81787056,-0.818050933,-0.818736994,-0.817371313
0.3625,-0.676074906,-0.677237667,-0.678162078,-0.678472899,-0.679194391,-0.677828388
0.375,-0.541911277,-0.543415458,-0.54447676,-0.543971071,-0.5440677,-0.543568453
0.3875,-0.419959845,-0.421431817,-0.421802226,-0.422093722,-0.421770017,-0.421411526
0.4,-0.311996958,-0.313142004,-0.314066416,-0.314074468,-0.313009945,-0.313257958
0.4125,-0.220164546,-0.220684729,-0.222114829,-0.221652623,-0.221475471,-0.22121844
0.425,-0.143599402,-0.14400202,-0.145008567,-0.144535087,-0.144423964,-0.144313808
0.4375,-0.081528507,-0.080555781,-0.082093784,-0.081407721,-0.082010039,-0.081519166
0.45,-0.031318744,-0.029933736,-0.030986986,-0.030969271,-0.03106751,-0.030855249
0.4625,0.00827961,0.009582485,0.007893096,0.009207244,0.008121784,0.008616844
0.475,0.039334401,0.03997537,0.038422872,0.039426198,0.039751514,0.039382071
0.4875,0.062700786,0.063262842,0.061499371,0.062803856,0.062323935,0.062518158
0.5,0.080027891,0.080072984,0.07982175,0.080689796,0.079884559,0.080099396
0.5125,0.093082405,0.09316776,0.092299714,0.093522065,0.092349639,0.092884317
0.525,0.101825677,0.102199308,0.102018934,0.102284663,0.102638968,0.10219351
0.5375,0.108071102,0.109227423,0.108320726,0.108095259,0.108172562,0.108377414
0.55,0.111713998,0.113553161,0.112820395,0.11188793,0.112382346,0.112471566
0.5625,0.114488848,0.115976927,0.114852815,0.113983158,0.113454922,0.114551334
0.575,0.11544547,0.115983369,0.115595245,0.11483349,0.114541993,0.115279913
0.5875,0.115643559,0.116387599,0.115244161,0.115049293,0.113511289,0.11516718
0.6,0.113925181,0.115081503,0.114102333,0.114350347,0.112786575,0.114049188
0.6125,0.111763923,0.11402342,0.112042535,0.113768965,0.111081081,0.112535985
0.625,0.108955253,0.110655916,0.110699398,0.110823405,0.109224203,0.110071635
0.6375,0.107716797,0.108807089,0.108660536,0.10867181,0.107022683,0.108175783
0.65,0.105231833,0.105473405,0.10657497,0.10505307,0.104497456,0.105366147
0.6625,0.103159151,0.10332342,0.1037663,0.102194476,0.101951295,0.102878928
0.675,0.10048093,0.100229696,0.100195876,0.099173224,0.09942929,0.099901803
0.6875,0.098165066,0.097933158,0.096701144,0.096359723,0.096778447,0.097187508
0.7,0.095317745,0.095279094,0.093612252,0.093522065,0.093724985,0.094291228
0.7125,0.092879485,0.092370575,0.090544296,0.091103131,0.092053312,0.09179016
0.725,0.089534528,0.090125572,0.087795214,0.08778072,0.088759889,0.088799185
0.7375,0.086355449,0.087569748,0.085218453,0.085770846,0.085894853,0.08616187
0.75,0.084042806,0.085078342,0.082519296,0.083058806,0.081826792,0.083305208
0.7625,0.081528854,0.082235853,0.079683249,0.080833128,0.078850633,0.080626343
0.775,0.078526928,0.079084152,0.07677312,0.078483445,0.074642461,0.077502021
0.7875,0.075768183,0.07592762,0.074584484,0.075734363,0.07284356,0.074971642
0.8,0.073325092,0.073400784,0.072052816,0.072748542,0.069678976,0.072241242
0.8125,0.070680691,0.071120351,0.069629051,0.070691965,0.068163518,0.070057115
0.825,0.067963819,0.068511381,0.067089331,0.068653103,0.065124552,0.067468437
0.8375,0.065673723,0.065445036,0.065246948,0.066334018,0.064093847,0.065358714
0.85,0.063171045,0.063196812,0.062877938,0.063824898,0.061365702,0.062887279
0.8625,0.060822972,0.060394585,0.060739227,0.06118855,0.060011292,0.060631325
0.875,0.058085164,0.058321904,0.058460405,0.0587825,0.057051239,0.058140242
0.8875,0.055968999,0.056076901,0.055978662,0.056178361,0.055096122,0.055859809
0.9,0.054796573,0.054579159,0.053781974,0.053848003,0.05190416,0.053781974
0.9125,0.052607937,0.051530529,0.051239033,0.051762438,0.050771996,0.051582387
0.925,0.051155289,0.050203498,0.048924781,0.049936159,0.047813552,0.049606656
0.9375,0.049140584,0.047982652,0.047420597,0.047454417,0.04655255,0.04771016
0.95,0.047066292,0.047265991,0.045235182,0.045489637,0.043584445,0.045728309
0.9625,0.044702115,0.045270612,0.043363809,0.04329778,0.042328274,0.043792518
0.975,0.041956254,0.044368746,0.041284686,0.041543973,0.040555141,0.04194176
0.9875,0.039677432,0.042532804,0.039989864,0.039630728,0.039228109,0.040211788
1,0.038477628,0.041167121,0.037731978,0.037667559,0.037472691,0.038503396
1.0125,0.036661012,0.038595193,0.036121503,0.036458092,0.036321202,0.0368314
1.025,0.035680233,0.036820449,0.034881437,0.03570439,0.034523911,0.035522084
1.0375,0.033736389,0.034403126,0.034114851,0.03295853,0.032317561,0.033506091
1.05,0.03184247,0.033114746,0.032932762,0.032301456,0.030488061,0.032135899
1.0625,0.029882522,0.031138693,0.031929436,0.030616899,0.028801893,0.030473889
1.075,0.028708486,0.030426863,0.031029181,0.029417095,0.027352466,0.029386818
1.0875,0.027395949,0.028758411,0.028972604,0.02767295,0.026159104,0.027791803
1.1,0.026104348,0.026932132,0.027025539,0.026680898,0.025758096,0.026500202
1.1125,0.025220197,0.025795136,0.024780537,0.024909375,0.024199156,0.02498088
1.125,0.024308668,0.02475477,0.022975194,0.023970468,0.022704635,0.023742747
1.1375,0.023590396,0.022957479,0.021607901,0.022488831,0.020944386,0.022317799
1.15,0.022801263,0.021137643,0.019707541,0.021110265,0.019971659,0.020945674
1.1625,0.021661047,0.019955554,0.017984333,0.019987763,0.017768529,0.019471445
1.175,0.021039404,0.019114886,0.016935913,0.018328974,0.017179095,0.018519654
1.1875,0.019689825,0.018098676,0.015641091,0.016824791,0.015470381,0.017144953
1.2,0.018056804,0.016589661,0.014926041,0.015631429,0.015004954,0.016041778
1.2125,0.017193589,0.01577154,0.013689196,0.014545969,0.013800319,0.015000122
1.225,0.015837569,0.014740836,0.013426688,0.014133687,0.014624882,0.014552732
1.2375,0.014231926,0.014080541,0.011632619,0.013624777,0.013154518,0.013344876
1.25,0.012532875,0.013107814,0.010861202,0.011726027,0.012692312,0.012184046
1.2625,0.011139814,0.011922505,0.009036534,0.009682334,0.010959441,0.010548125
1.275,0.009787015,0.01017836,0.008099237,0.008427774,0.009873981,0.009273273
1.2875,0.008672566,0.008849718,0.006941306,0.007258569,0.007321378,0.007808708
1.3,0.007603211,0.007155499,0.00603944,0.006532245,0.007216697,0.006909418
1.3125,0.006915538,0.007049207,0.00559978,0.005828468,0.005392029,0.006157004
1.325,0.005390418,0.005106975,0.004910497,0.004665705,0.004559413,0.004926602
1.3375,0.004625443,0.004511099,0.004507878,0.004047282,0.003353168,0.004208974
1.35,0.003480395,0.003121259,0.004053724,0.003248487,0.003095492,0.003399871
1.3625,0.003304853,0.003188899,0.00220973,0.002771786,0.002422313,0.002779516
1.375,0.002359505,0.001892467,0.00108884,0.002088945,0.001900519,0.001866055
1.3875,0.001423819,0.00227576,0.000148323,0.000882699,0.001344906,0.001215101
1.4,0.000530005,0.001100113,-0.000623095,9.68E-05,0.000310981,0.000282958
1.4125,-0.000355756,0.000636296,-0.000951632,-0.000215645,-0.000702008,-0.000317749
1.425,-0.001520129,-0.000768038,-0.001339756,-0.001483088,-0.001787468,-0.001379696
1.4375,-0.001437995,-0.001125563,-0.002418774,-0.001565223,-0.002718323,-0.001853176
1.45,-0.00216754,-0.002259337,-0.002600758,-0.002529897,-0.003988987,-0.002709304
1.4625,-0.003069406,-0.003167645,-0.002753753,-0.002339861,-0.004124267,-0.003090987
1.475,-0.00386176,-0.003449478,-0.003322251,-0.002645851,-0.004792614,-0.003614391
1.4875,-0.003736143,-0.004143593,-0.003951946,-0.00288098,-0.004288536,-0.00380024
1.5,-0.003697491,-0.004631567,-0.004580032,-0.00389558,-0.005502834,-0.004461501
1.5125,-0.003826329,-0.005125983,-0.005212948,-0.004373891,-0.005018081,-0.004711446
1.525,-0.004399658,-0.005589799,-0.005731521,-0.005412647,-0.005834592,-0.005393643
1.5375,-0.004615462,-0.006330618,-0.006620503,-0.00640792,-0.006522264,-0.006099354
1.55,-0.004654113,-0.006884621,-0.007201885,-0.006891063,-0.007292071,-0.006584751
1.5625,-0.005467403,-0.006760615,-0.007319449,-0.007156791,-0.00837431,-0.007015714
1.575,-0.006127698,-0.006296798,-0.007353269,-0.00695065,-0.00986722,-0.007319127
1.5875,-0.006357996,-0.006019796,-0.007675364,-0.007250199,-0.00972872,-0.007406415
1.6,-0.007469223,-0.005958598,-0.00817139,-0.006409531,-0.010382572,-0.007678263
1.6125,-0.008148844,-0.006330618,-0.008793034,-0.007122971,-0.009609545,-0.008001002
1.625,-0.008768876,-0.006419194,-0.009432392,-0.007143907,-0.010455044,-0.008443883
1.6375,-0.00925363,-0.007883115,-0.009612765,-0.007765551,-0.009055541,-0.00871412
1.65,-0.009224641,-0.008211652,-0.009909093,-0.008619103,-0.009680405,-0.009128979
1.6625,-0.009437224,-0.008422624,-0.009268124,-0.009809243,-0.008963744,-0.009180192
1.675,-0.00905071,-0.008467718,-0.009266513,-0.010044373,-0.010553283,-0.009476519
1.6875,-0.008752772,-0.008970186,-0.00942595,-0.010426055,-0.010244072,-0.009563807
1.7,-0.008567567,-0.008863895,-0.009440445,-0.010105571,-0.010624144,-0.009520324
1.7125,-0.009503253,-0.009624039,-0.010110402,-0.009949355,-0.010144222,-0.009866254
1.725,-0.010247292,-0.008892883,-0.010356805,-0.009818906,-0.011339194,-0.010131016
1.7375,-0.010862494,-0.009886546,-0.010641859,-0.009855947,-0.011711214,-0.010591612
1.75,-0.010226356,-0.009480706,-0.010337479,-0.00986722,-0.012013983,-0.010385149
1.7625,-0.01044216,-0.010176432,-0.010690173,-0.010025047,-0.012677499,-0.010802262
1.775,-0.009997669,-0.009342206,-0.010231188,-0.009739993,-0.01325727,-0.010513665
1.7875,-0.010429276,-0.010290775,-0.010657963,-0.010735266,-0.013366782,-0.011096013
1.8,-0.010865715,-0.010261787,-0.011234513,-0.010429276,-0.012700046,-0.011098267
1.8125,-0.010785191,-0.010418003,-0.011134664,-0.01088182,-0.012981879,-0.011240311
1.825,-0.010015384,-0.009606323,-0.010857662,-0.010695004,-0.013065623,-0.010848
1.8375,-0.00962726,-0.00952741,-0.011160432,-0.011134664,-0.013580975,-0.011006148
1.85,-0.009855947,-0.009464602,-0.011342415,-0.010165158,-0.013139705,-0.010793566
1.8625,-0.01074654,-0.008991122,-0.011400392,-0.009791528,-0.012836936,-0.010753304
1.875,-0.010324595,-0.009454939,-0.011986605,-0.009878494,-0.012162147,-0.010761356
1.8875,-0.010614481,-0.009894598,-0.01254544,-0.010580661,-0.012933565,-0.011313749
1.9,-0.010693394,-0.009841453,-0.012563155,-0.011319869,-0.012495515,-0.011382677
1.9125,-0.010860883,-0.009541904,-0.012543829,-0.012353793,-0.012700046,-0.011600091
1.925,-0.011340805,-0.009881715,-0.011809453,-0.012329636,-0.012212072,-0.011514736
1.9375,-0.011674173,-0.010242461,-0.011888366,-0.012091286,-0.012429486,-0.011665154
1.95,-0.01176436,-0.010706278,-0.012339299,-0.012658173,-0.012118664,-0.011917355
1.9625,-0.011893198,-0.011028373,-0.012358625,-0.012324805,-0.011928628,-0.011906726
1.975,-0.011825558,-0.011508294,-0.012067129,-0.012258776,-0.011619417,-0.011855835
1.9875,-0.011021931,-0.010556504,-0.012770906,-0.01163069,-0.012833715,-0.011762749
2,-0.010934965,-0.010807738,-0.012954501,-0.01156144,-0.012695214,-0.011790772
2.0125,-0.010912419,-0.010968785,-0.013083338,-0.011651626,-0.014447411,-0.012212716
2.025,-0.011273165,-0.012123496,-0.012828884,-0.012059077,-0.013804831,-0.01241789
2.0375,-0.011733761,-0.011661289,-0.013307195,-0.012667836,-0.014795273,-0.012833071
2.05,-0.01193668,-0.012621132,-0.013405433,-0.013497231,-0.014291194,-0.013150334
2.0625,-0.011411666,-0.012294206,-0.013519777,-0.013928838,-0.015144746,-0.013259847
2.075,-0.011844883,-0.013022141,-0.01363251,-0.014643889,-0.015036844,-0.013636053
2.0875,-0.012107391,-0.012704877,-0.013748465,-0.014416812,-0.015785715,-0.013752652
2.1,-0.012775738,-0.013904681,-0.013445695,-0.014924111,-0.015587627,-0.01412757
2.1125,-0.013215398,-0.013532661,-0.013915954,-0.014600406,-0.015247817,-0.014102447
2.125,-0.014302468,-0.01465033,-0.013880524,-0.015048118,-0.014943437,-0.014564975
2.1375,-0.01475018,-0.013419928,-0.013932059,-0.01464711,-0.015118979,-0.014373651
2.15,-0.014948268,-0.013386108,-0.014286363,-0.014811378,-0.015032013,-0.014492826
2.1625,-0.01488707,-0.012187915,-0.014994972,-0.014363666,-0.014796884,-0.014246101
2.175,-0.014664825,-0.012882029,-0.015502272,-0.014460294,-0.015030402,-0.014507965
2.1875,-0.014268648,-0.013419928,-0.015954815,-0.014289584,-0.015062612,-0.014599117
2.2,-0.014336288,-0.014495725,-0.015592458,-0.014621342,-0.01576961,-0.014963085
2.2125,-0.014555312,-0.014840367,-0.016578069,-0.01464872,-0.015689087,-0.015262311
2.225,-0.014676098,-0.015437853,-0.016859902,-0.014945047,-0.016112642,-0.015606308
2.2375,-0.014651941,-0.015967699,-0.017149787,-0.015321899,-0.015982193,-0.015814704
2.25,-0.014532766,-0.016127136,-0.017318887,-0.015378265,-0.016755221,-0.016022455
2.2625,-0.014880629,-0.016359044,-0.017046717,-0.015953205,-0.01617545,-0.016083009
2.275,-0.015710023,-0.016067548,-0.017109525,-0.016363876,-0.016962972,-0.016442789
2.2875,-0.015842082,-0.016755221,-0.016526534,-0.01753147,-0.016394475,-0.016609956
2.3,-0.015642383,-0.016371928,-0.016698854,-0.017810082,-0.017665139,-0.016837677
2.3125,-0.016305898,-0.016877617,-0.0164138,-0.018161165,-0.017684465,-0.017088589
2.325,-0.016964583,-0.016708517,-0.016911437,-0.017626488,-0.017653866,-0.017172978
2.3375,-0.017529859,-0.016589342,-0.016900164,-0.017500871,-0.017297951,-0.017163637
2.35,-0.017977571,-0.016777768,-0.017285067,-0.017650645,-0.018206259,-0.017579462
2.3625,-0.018499365,-0.0169211,-0.017190049,-0.017653866,-0.017776262,-0.017608128
2.375,-0.018301277,-0.016993571,-0.017992066,-0.017399411,-0.019122619,-0.017961789
2.3875,-0.018240079,-0.017322108,-0.018114462,-0.017657087,-0.01838019,-0.017942785
2.4,-0.017613604,-0.016864733,-0.019061421,-0.017637761,-0.019579994,-0.018151503
2.4125,-0.016950088,-0.018178881,-0.018913257,-0.01854929,-0.019520406,-0.018422384
2.425,-0.015898448,-0.018014612,-0.018604046,-0.018417231,-0.019948793,-0.018176626
2.4375,-0.016014403,-0.017882553,-0.018249742,-0.018088694,-0.018972845,-0.017841647
2.45,-0.015829198,-0.016700465,-0.017892216,-0.017864838,-0.019003444,-0.017458032
2.4625,-0.015611784,-0.017109525,-0.017370422,-0.017975961,-0.017977571,-0.017209053
2.475,-0.015653656,-0.016162566,-0.01810802,-0.017591057,-0.018174049,-0.01713787
2.4875,-0.016483051,-0.016867954,-0.018095136,-0.017658697,-0.01834476,-0.01748992
2.5,-0.016462115,-0.015958036,-0.018206259,-0.017320498,-0.018800524,-0.017349486
2.5125,-0.01671657,-0.01644762,-0.018422062,-0.017545964,-0.018897153,-0.017605874
2.525,-0.016197997,-0.016495935,-0.017956635,-0.017135293,-0.019001833,-0.017357539
2.5375,-0.016396085,-0.016893722,-0.017438062,-0.017061211,-0.019006665,-0.017359149
2.55,-0.016726232,-0.017202933,-0.01766836,-0.016904995,-0.018716779,-0.01744386
2.5625,-0.016811588,-0.017281846,-0.017355928,-0.017112746,-0.018610488,-0.017434519
2.575,-0.016838966,-0.017025781,-0.016980687,-0.016636046,-0.018389853,-0.017174267
2.5875,-0.015930658,-0.016260805,-0.017333381,-0.016940426,-0.018874606,-0.017067975
2.6,-0.015843692,-0.015378265,-0.01749926,-0.016342939,-0.01875382,-0.016763596
2.6125,-0.01566654,-0.014566586,-0.016982298,-0.016602226,-0.018642697,-0.016492069
2.625,-0.015796989,-0.014423254,-0.017241584,-0.016890501,-0.017934089,-0.016457283
2.6375,-0.016236648,-0.013991646,-0.017231922,-0.017111136,-0.018050043,-0.016524279
2.65,-0.016605447,-0.014157525,-0.016272079,-0.017275404,-0.017389748,-0.016340041
2.6625,-0.016392864,-0.014803326,-0.015817925,-0.016901774,-0.017338213,-0.01625082
2.675,-0.016417021,-0.01535894,-0.015213997,-0.016724622,-0.016442789,-0.016031474
2.6875,-0.016694023,-0.015220439,-0.016330056,-0.016127136,-0.017231922,-0.016320715
2.7,-0.016418632,-0.015787326,-0.016350992,-0.016270468,-0.016832524,-0.016331988
2.7125,-0.015996687,-0.014999804,-0.01702417,-0.015629499,-0.017829408,-0.016295914
2.725,-0.015133473,-0.014397486,-0.016383201,-0.015439463,-0.016758442,-0.015622413
2.7375,-0.014879018,-0.013585807,-0.01603856,-0.014896733,-0.017692517,-0.015418527
2.75,-0.015035234,-0.013795168,-0.015602121,-0.015320288,-0.016436347,-0.015237832
2.7625,-0.015519987,-0.01362929,-0.015806652,-0.015468452,-0.016945257,-0.015473927
2.775,-0.01546201,-0.014698645,-0.015610173,-0.015239764,-0.015941931,-0.015390505
2.7875,-0.015275195,-0.014801715,-0.01549583,-0.015901669,-0.016236648,-0.015542211
2.8,-0.015695529,-0.015143136,-0.015120589,-0.016032118,-0.015635941,-0.015525462
2.8125,-0.015896838,-0.0144458,-0.015112537,-0.015819535,-0.016568406,-0.015568623
2.825,-0.015772831,-0.01502074,-0.015325119,-0.016159345,-0.016933984,-0.015842404
2.8375,-0.014812989,-0.014144641,-0.016188334,-0.015735791,-0.016842187,-0.015544788
