Time (ms),Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,AVG
0,0.010774237,0.008463205,0.008395565,0.010534276,0.010239558,0.009681368
0.0125,-0.151775778,-0.154138344,-0.153967633,-0.153065768,-0.152711464,-0.153131797
0.025,-0.32446041,-0.326157848,-0.325181902,-0.325185123,-0.325661823,-0.325329421
0.0375,-0.235117793,-0.236576882,-0.235808686,-0.23558483,-0.236233851,-0.235864408
0.05,0.020963711,0.018833052,0.020137537,0.019886303,0.01957226,0.019878573
0.0625,0.314790266,0.312722413,0.313434244,0.313154021,0.313674205,0.31355503
0.075,0.558326885,0.556147905,0.55716895,0.556858127,0.55814007,0.557328388
0.0875,0.713250359,0.711121301,0.711058492,0.710921601,0.712962082,0.711862767
0.1,0.773292379,0.770733321,0.76986205,0.770699501,0.772912305,0.771499911
0.1125,0.752311005,0.75066026,0.749338054,0.750049887,0.753304673,0.751132776
0.125,0.673389316,0.671717636,0.670553258,0.671770782,0.674101149,0.672306428
0.1375,0.55743629,0.557172171,0.555316898,0.55710131,0.558866396,0.557178613
0.15,0.425085473,0.424417124,0.423041775,0.424858395,0.425710338,0.424622621
0.1625,0.289299629,0.289992135,0.28802091,0.289734458,0.290557412,0.289520909
0.175,0.161191039,0.160488871,0.159466219,0.161687065,0.161522797,0.160871198
0.1875,0.044547508,0.04465541,0.043466879,0.046253002,0.045621695,0.044908899
0.2,-0.070917092,-0.071152221,-0.072239292,-0.068773551,-0.070363089,-0.070689049
0.2125,-0.013869251,-0.013419928,-0.014582691,-0.011754697,-0.012448812,-0.013215076
0.225,0.091605599,0.091571779,0.091041932,0.093195138,0.092510686,0.091985027
0.2375,-0.044490816,-0.044421566,-0.045207477,-0.043453671,-0.043493932,-0.044213493
0.25,-0.332784945,-0.334255307,-0.33395737,-0.333669095,-0.33256431,-0.333446206
0.2625,-0.650945094,-0.651083595,-0.651830854,-0.652241524,-0.65021394,-0.651263001
0.275,-0.912421402,-0.912896491,-0.913492366,-0.913883711,-0.912120243,-0.912962843
0.2875,-1.079747918,-1.079369457,-1.080931616,-1.08033413,-1.079475748,-1.079971774
0.3,-1.147374909,-1.147909587,-1.148679393,-1.148162431,-1.14771794,-1.147968852
0.3125,-1.131514968,-1.131700172,-1.133003045,-1.132059308,-1.132188146,-1.132093128
0.325,-1.053883721,-1.054924086,-1.055428164,-1.055070639,-1.055394345,-1.054940191
0.3375,-0.939219667,-0.938982927,-0.939602959,-0.939319516,-0.93923255,-0.939271524
0.35,-0.803878775,-0.80379342,-0.80389649,-0.804463377,-0.803650088,-0.80393643
0.3625,-0.664474673,-0.664471452,-0.664147747,-0.664608342,-0.664149357,-0.664370314
0.375,-0.52944944,-0.530243403,-0.529884268,-0.530765197,-0.529325434,-0.529933549
0.3875,-0.406660561,-0.408126091,-0.407341791,-0.408034294,-0.407014865,-0.407435521
0.4,-0.297927864,-0.300077846,-0.300177695,-0.299892642,-0.299641408,-0.299543491
0.4125,-0.206151815,-0.207846033,-0.208892841,-0.20779933,-0.208192285,-0.207776461
0.425,-0.129269405,-0.130377411,-0.132202078,-0.13139523,-0.131651296,-0.130979084
0.4375,-0.066821656,-0.067911947,-0.068718794,-0.067942546,-0.068833138,-0.068045616
0.45,-0.016431516,-0.018128957,-0.018143451,-0.017690907,-0.017610384,-0.017601043
0.4625,0.023814252,0.021182735,0.021168241,0.02207977,0.022260143,0.022101028
0.475,0.054580769,0.053010556,0.05224719,0.053189318,0.053756206,0.053356808
0.4875,0.077549369,0.076119266,0.075397773,0.077230494,0.077275588,0.076714498
0.5,0.095217895,0.094187191,0.092987387,0.094612356,0.09547074,0.094495114
0.5125,0.10826919,0.106650662,0.10586475,0.106971147,0.10782953,0.107117056
0.525,0.117186394,0.116342505,0.114852815,0.116476174,0.11686752,0.116345081
0.5375,0.123782903,0.122357632,0.121001611,0.123428598,0.122538005,0.12262175
0.55,0.127150408,0.12664955,0.124816828,0.127588457,0.12712464,0.126665977
0.5625,0.129946194,0.128535417,0.126655992,0.129380917,0.129720727,0.128847849
0.575,0.130749821,0.130511471,0.127601341,0.130617762,0.130765926,0.130049264
0.5875,0.130925363,0.12979803,0.128271299,0.130250574,0.130616152,0.129972284
0.6,0.129540354,0.129957467,0.127926657,0.129177997,0.129596721,0.129239839
0.6125,0.128430736,0.128248752,0.126713969,0.127448346,0.127891227,0.127746606
0.625,0.125638171,0.126720411,0.125423978,0.12516147,0.126087494,0.125806305
0.6375,0.12357193,0.123273992,0.123868258,0.122932572,0.123654065,0.123460163
0.65,0.120164164,0.120189931,0.121252845,0.120668243,0.120922698,0.120639576
0.6625,0.118147848,0.117175121,0.118585897,0.118265413,0.118176837,0.118070223
0.675,0.115748239,0.114809332,0.114997757,0.116039735,0.116323179,0.115583649
0.6875,0.113983158,0.111797742,0.11189115,0.112764028,0.113622411,0.112811698
0.7,0.111134226,0.109278958,0.108678251,0.109907044,0.110710671,0.10994183
0.7125,0.108969747,0.106901896,0.106405869,0.10661201,0.107249759,0.107227856
0.725,0.106133699,0.104948389,0.10305447,0.10346192,0.104130267,0.104345749
0.7375,0.104452363,0.101683955,0.100761152,0.100757931,0.10156639,0.101844358
0.75,0.10068385,0.098292293,0.098293904,0.098089373,0.098561243,0.098784133
0.7625,0.0968944,0.094952167,0.095620514,0.095393437,0.096701143,0.095912332
0.775,0.093502739,0.092417278,0.092649187,0.093206411,0.093926294,0.093140382
0.7875,0.09049276,0.090103025,0.089763215,0.090888937,0.091637808,0.090577149
0.8,0.087112372,0.087094657,0.086004365,0.088526369,0.088677754,0.087483103
0.8125,0.084086288,0.085179801,0.083334196,0.085406878,0.086738742,0.084949181
0.825,0.080989344,0.082957345,0.080791256,0.082462929,0.083746478,0.08218947
0.8375,0.078939209,0.080742941,0.078425467,0.079530253,0.080731668,0.079673908
0.85,0.077779666,0.077040458,0.076529938,0.077037237,0.077662102,0.07720988
0.8625,0.07521579,0.074408941,0.074189917,0.074834107,0.074999986,0.074729748
0.875,0.073075468,0.070920652,0.071574505,0.072399068,0.07243933,0.072081804
0.8875,0.070419794,0.069585568,0.069524369,0.069807813,0.070661365,0.069999782
0.9,0.068838307,0.066164918,0.068037901,0.067632061,0.068041122,0.067742862
0.9125,0.065794509,0.064322534,0.065137435,0.065351628,0.065424099,0.065206041
0.925,0.063997218,0.062185433,0.062826402,0.063038985,0.062807077,0.062971023
0.9375,0.061521917,0.061220759,0.060974356,0.061454278,0.061708733,0.061376008
0.95,0.059811593,0.059317177,0.058914558,0.059502381,0.059793877,0.059467917
0.9625,0.057602021,0.057854865,0.055943231,0.057996587,0.058003029,0.057479947
0.975,0.056260495,0.055113836,0.05367085,0.055386007,0.055605031,0.055207244
0.9875,0.053875381,0.053224749,0.052237527,0.053192539,0.0536016,0.053226359
1,0.05197663,0.050836414,0.051607832,0.050741396,0.051917043,0.051415863
1.0125,0.049406312,0.049551255,0.049493278,0.048803994,0.050147131,0.049480394
1.025,0.047663778,0.047325578,0.047518835,0.047121048,0.048481899,0.047622227
1.0375,0.04546709,0.045396229,0.045463869,0.045620085,0.046496183,0.045688691
1.05,0.044256012,0.043856614,0.044090133,0.043821184,0.044615148,0.044127818
1.0625,0.041477943,0.042412018,0.042036777,0.042149511,0.043057819,0.042226813
1.075,0.040447238,0.041312064,0.040729072,0.040276528,0.04143607,0.040840194
1.0875,0.039364999,0.039567919,0.038567814,0.039584024,0.039753124,0.039367576
1.1,0.038601634,0.037177974,0.037218236,0.038658001,0.038086282,0.037948425
1.1125,0.037569319,0.035601319,0.035833227,0.037024979,0.037000822,0.036605933
1.125,0.03682528,0.034031105,0.034897541,0.035454766,0.036364684,0.035514675
1.1375,0.034942634,0.032505986,0.034166386,0.033828186,0.035071472,0.034102933
1.15,0.03367197,0.03129974,0.033280624,0.032679917,0.033871668,0.032960784
1.1625,0.032573625,0.030177239,0.031372211,0.032117861,0.032560742,0.031760336
1.175,0.031581573,0.030085442,0.029716643,0.031280414,0.031863406,0.030905495
1.1875,0.029821324,0.028953277,0.028110999,0.0302175,0.029953382,0.029411297
1.2,0.028531333,0.028563543,0.02682423,0.028913016,0.028608636,0.028288151
1.2125,0.027453925,0.026734043,0.025415064,0.027439431,0.026875765,0.026783645
1.225,0.026600373,0.026133336,0.024474546,0.025957794,0.026365244,0.025906259
1.2375,0.02604798,0.023920543,0.023487325,0.024722559,0.025675961,0.024770874
1.25,0.024685519,0.022661151,0.022066886,0.023224818,0.025192818,0.023566238
1.2625,0.023152346,0.021279364,0.021472621,0.022261754,0.024191103,0.022471438
1.275,0.021363109,0.020549819,0.020429033,0.021530598,0.023451895,0.021464891
1.2875,0.020889629,0.01930009,0.019659226,0.020834873,0.021554755,0.020447715
1.3,0.019586755,0.018747697,0.018696162,0.020134316,0.020309858,0.019494958
1.3125,0.019623796,0.018800843,0.018570545,0.019496568,0.018712267,0.019040804
1.325,0.01801171,0.018937733,0.017665458,0.018448149,0.01794407,0.018201424
1.3375,0.018288712,0.01743355,0.01713078,0.017592987,0.016771644,0.017443535
1.35,0.017343363,0.016435055,0.015531579,0.016103297,0.016657301,0.016414119
1.3625,0.017182315,0.014977575,0.014808475,0.0145202,0.0155042,0.015398553
1.375,0.016037268,0.01462166,0.013252757,0.013780992,0.015273903,0.014593316
1.3875,0.015882662,0.013998406,0.012156023,0.013479833,0.01526424,0.014156233
1.4,0.015248135,0.013795487,0.011793666,0.012900062,0.014465444,0.013640559
1.4125,0.01448477,0.01329785,0.012020743,0.012233326,0.013228599,0.013053058
1.425,0.013202832,0.013101372,0.011102772,0.012363774,0.012718079,0.012497766
1.4375,0.012584409,0.012563473,0.010440867,0.012603735,0.012199506,0.012078398
1.45,0.011895126,0.011924115,0.009951283,0.012600514,0.011255768,0.011525361
1.4625,0.012017522,0.011582694,0.010849928,0.012267146,0.010002818,0.011344022
1.475,0.011262209,0.010345849,0.01017997,0.011336291,0.009869149,0.010598694
1.4875,0.011088278,0.010320082,0.009580874,0.009988324,0.010376448,0.010270801
1.5,0.01116397,0.009324808,0.008155603,0.009146045,0.009807951,0.009519676
1.5125,0.011238052,0.009210464,0.007988114,0.008158824,0.009846602,0.009288411
1.525,0.011015807,0.008732153,0.008302156,0.007203813,0.009239453,0.008898676
1.5375,0.010793561,0.008733764,0.00834886,0.007490477,0.009218517,0.008917036
1.55,0.010577758,0.008334366,0.00838268,0.007717554,0.008427774,0.008688026
1.5625,0.010152592,0.008521181,0.007910811,0.008054143,0.008680618,0.008663869
1.575,0.009360238,0.007366471,0.006698123,0.007236022,0.008825561,0.007897283
1.5875,0.008289273,0.007242464,0.006509698,0.006664304,0.009266831,0.007594514
1.6,0.007558117,0.006379249,0.006459773,0.006319662,0.0084165,0.00702666
1.6125,0.005994346,0.006607937,0.006028166,0.00600723,0.00814594,0.006556724
1.625,0.00587195,0.005000683,0.006086143,0.005611053,0.007645083,0.006042982
1.6375,0.005106974,0.004942706,0.005485436,0.005752775,0.007756205,0.005808819
1.65,0.004842856,0.004271138,0.005110195,0.004828362,0.006901043,0.005190719
1.6625,0.004565855,0.005008735,0.004631884,0.004694693,0.006625652,0.005105364
1.675,0.004654431,0.004590012,0.004048892,0.004153573,0.006425953,0.004774572
1.6875,0.0038041,0.005079596,0.002415871,0.003779943,0.006013672,0.004218636
1.7,0.004089154,0.004425743,0.001956885,0.004090765,0.005520866,0.004016683
1.7125,0.004063387,0.00482031,0.001547825,0.004280801,0.005293789,0.004001222
1.725,0.004087544,0.003707472,0.002443249,0.004622221,0.004364545,0.003845006
1.7375,0.003322568,0.003335452,0.00227898,0.004958811,0.003209835,0.003421129
1.75,0.003891066,0.002309579,0.003448185,0.004499825,0.003221108,0.003473953
1.7625,0.003562529,0.002051903,0.003552866,0.003902339,0.003235602,0.003261048
1.775,0.00434522,0.001211235,0.003823426,0.00319212,0.002902234,0.003094847
1.7875,0.003932938,0.001335242,0.002963432,0.0028201,0.002398155,0.002689974
1.8,0.003712303,0.001348126,0.002301527,0.002121154,0.002383661,0.002373354
1.8125,0.002443249,0.001265992,0.001208015,0.001824826,0.002167858,0.001781988
1.825,0.002357894,0.001265992,0.000805396,0.001968159,0.00254954,0.001789396
1.8375,0.002361115,0.001410934,0.000233677,0.002303137,0.002254823,0.001712737
1.85,0.002623622,0.00173464,-0.000194709,0.001966548,0.002444859,0.001714992
1.8625,0.002132427,0.001365841,-0.000953243,0.00197299,0.001813553,0.001266314
1.875,0.00207445,0.001401272,0.000149933,0.001119438,0.001860257,0.00132107
1.8875,0.001084008,0.00085371,8.21E-06,0.000873036,0.001575203,0.000878833
1.9,0.000948728,0.001108165,-7.89E-06,0.000468807,0.00159936,0.000823433
1.9125,0.000761913,6.78E-05,3.88E-05,0.000356073,0.001082398,0.000461398
1.925,0.000257834,-0.000296169,0.000280381,0.000678168,0.00105663,0.000395369
1.9375,0.000383451,-0.001231855,0.000383451,0.000710378,0.000430155,0.000135116
1.95,0.00020952,-0.000399239,0.000224014,0.001000263,0.000604086,0.000327729
1.9625,0.00061536,-0.001132005,-1.76E-05,0.000745808,0.00010645,6.36111E-05
1.975,0.000599255,-0.000160889,-0.000874329,0.000222404,4.36E-05,-3.39837E-05
1.9875,0.000587982,-0.000341262,-0.001608706,-0.000900097,-0.001009609,-0.000654339
2,-1.76E-05,-0.000201151,-0.001940464,-0.001346199,-0.001054703,-0.000912015
2.0125,0.000631465,-0.00158938,-0.001615148,-0.001505636,-0.00141867,-0.001099474
2.025,0.000286823,-0.002000051,-0.001615148,-0.00172466,-0.00141867,-0.001294341
2.0375,0.000558993,-0.002755364,-0.001718218,-0.001465374,-0.0016232,-0.001400633
2.05,-0.000445943,-0.002362408,-0.002012935,-0.000563508,-0.00124796,-0.001326551
2.0625,-0.000141563,-0.002663567,-0.001665073,-0.001409007,-0.0008083,-0.001337502
2.075,-0.000259128,-0.002602369,-0.002347914,-0.000700398,-0.000491036,-0.001280169
2.0875,-2.56E-05,-0.003093564,-0.002421996,-0.00138324,-0.000998336,-0.001584549
2.1,-0.00077287,-0.002430048,-0.003125773,-0.001460542,-0.000827626,-0.001723372
2.1125,-0.000735829,-0.002773079,-0.002996935,-0.001785858,-0.001033766,-0.001865094
2.125,-0.001890539,-0.002765027,-0.003687829,-0.001837393,-0.001185151,-0.002273188
2.1375,-0.001616758,-0.002916412,-0.003290042,-0.002297989,-0.002093459,-0.002442932
2.15,-0.002705439,-0.002982441,-0.003676556,-0.002462258,-0.002248064,-0.002814952
2.1625,-0.002898696,-0.003153151,-0.003164425,-0.002885813,-0.002355966,-0.00289161
2.175,-0.003409217,-0.002995325,-0.003505845,-0.002660346,-0.001698892,-0.002853925
2.1875,-0.002128889,-0.002533119,-0.002824615,-0.002686114,-0.002223907,-0.002479329
2.2,-0.001853498,-0.00270705,-0.003154762,-0.002246454,-0.002645852,-0.002521523
2.2125,-0.001518519,-0.00264102,-0.002723155,-0.001879266,-0.002497688,-0.00225193
2.225,-0.001610317,-0.002012935,-0.003096785,-0.002059639,-0.002201361,-0.002196207
2.2375,-0.00141706,-0.001919528,-0.003457531,-0.002264169,-0.00196301,-0.00220426
2.25,-0.001903423,-0.002183645,-0.004085616,-0.002146605,-0.001661852,-0.002396228
2.2625,-0.00182451,-0.001977505,-0.003856929,-0.002819783,-0.001721439,-0.002440033
2.275,-0.001946906,-0.002471921,-0.0036218,-0.002811731,-0.003151541,-0.002800779
2.2875,-0.002405891,-0.002570159,-0.003365734,-0.002745701,-0.003497793,-0.002917056
2.3,-0.002763417,-0.003304536,-0.00318214,-0.003101616,-0.003032366,-0.003076815
2.3125,-0.002676451,-0.002922853,-0.004182245,-0.003019482,-0.002307652,-0.003021737
2.325,-0.002404281,-0.003447868,-0.004485014,-0.003241728,-0.002447763,-0.003205331
2.3375,-0.002251285,-0.00287776,-0.004932726,-0.002897086,-0.00277469,-0.003146709
2.35,-0.001905033,-0.003517119,-0.004753963,-0.003323862,-0.002961505,-0.003292296
2.3625,-0.002360798,-0.003457531,-0.00487958,-0.003784458,-0.002700608,-0.003436595
2.375,-0.002270611,-0.004011535,-0.004401269,-0.003956778,-0.002763416,-0.003480722
2.3875,-0.002934127,-0.00355416,-0.003918127,-0.004072733,-0.002135331,-0.003322895
