Time (ms),Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,AVG
0,-0.00938891,-0.010063377,-0.009893955,-0.009741926,-0.009792173,-0.009776068
0.0125,-0.120750319,-0.121316239,-0.121093994,-0.121409647,-0.12101186,-0.121116412
0.025,-0.199051881,-0.200523532,-0.198868609,-0.199713142,-0.199000024,-0.199431438
0.0375,-0.077138999,-0.079049021,-0.076679047,-0.077509086,-0.076686133,-0.077412457
0.05,0.154169041,0.153167647,0.154561997,0.154299811,0.154787141,0.154197127
0.0625,0.39129119,0.390843155,0.391354321,0.391399092,0.391887067,0.391354965
0.075,0.570869951,0.570344934,0.571164024,0.571045171,0.571379185,0.570960653
0.0875,0.669015569,0.668735023,0.66895115,0.669071936,0.669539298,0.669062595
0.1,0.688282408,0.68884189,0.688840602,0.688959777,0.688767808,0.688738497
0.1125,0.645640717,0.647063738,0.646131592,0.646670781,0.646396677,0.646380701
0.125,0.561508872,0.562751841,0.56211699,0.562877458,0.562311858,0.562313404
0.1375,0.455000762,0.456024383,0.455378259,0.456124877,0.455713238,0.455648304
0.15,0.340554688,0.341312901,0.340864544,0.341291965,0.341090977,0.341023015
0.1625,0.228928321,0.228838779,0.22900498,0.22928778,0.229138005,0.229039573
0.175,0.126644718,0.126262069,0.126510082,0.126390263,0.126493978,0.126460222
0.1875,0.037454331,0.036945099,0.036881002,0.03698214,0.036578555,0.036968225
0.2,-0.052654634,-0.053246644,-0.053229573,-0.053543938,-0.053672454,-0.053269449
0.2125,-0.017522774,-0.018531253,-0.018403704,-0.018526422,-0.018534474,-0.018303725
0.225,0.012328344,0.01137913,0.011089244,0.011307303,0.011180719,0.011456948
0.2375,-0.14205528,-0.142922681,-0.143257338,-0.143732105,-0.143443186,-0.143082118
0.25,-0.395359229,-0.395796955,-0.396490425,-0.396778378,-0.396817995,-0.396248596
0.2625,-0.64734601,-0.647345688,-0.648309395,-0.649032175,-0.648713946,-0.648149443
0.275,-0.837069324,-0.837195263,-0.837725431,-0.838368009,-0.838692358,-0.837810077
0.2875,-0.942036705,-0.942411623,-0.942871252,-0.943049693,-0.943718683,-0.942817591
0.3,-0.966363862,-0.965631097,-0.966680803,-0.96652813,-0.96747702,-0.966536182
0.3125,-0.926163565,-0.925549008,-0.925979327,-0.926041813,-0.926645096,-0.926075762
0.325,-0.84243252,-0.842389037,-0.841991572,-0.842313989,-0.842688907,-0.842363205
0.3375,-0.734266427,-0.734548904,-0.734361767,-0.734722191,-0.735062,-0.734592258
0.35,-0.617441792,-0.61790593,-0.617850208,-0.618242519,-0.618493109,-0.617986712
0.3625,-0.502516863,-0.503563026,-0.503012245,-0.503470263,-0.503523087,-0.503217097
0.375,-0.396008894,-0.397680242,-0.396409257,-0.397092742,-0.397005454,-0.396839318
0.3875,-0.302159866,-0.303617666,-0.302707427,-0.303482386,-0.302809209,-0.302955311
0.4,-0.222390221,-0.223386137,-0.222604414,-0.223371643,-0.222501343,-0.222850752
0.4125,-0.156228417,-0.157179885,-0.156328266,-0.156987594,-0.155928869,-0.156530606
0.425,-0.102251124,-0.102953291,-0.102426344,-0.102523617,-0.102218271,-0.102474529
0.4375,-0.059258546,-0.059323609,-0.059707224,-0.059281736,-0.059217962,-0.059357815
0.45,-0.025825093,-0.025413778,-0.026323696,-0.02567693,-0.025621207,-0.025772141
0.4625,-3.85E-05,0.000239475,-0.000270079,0.00020952,0.000219183,7.1921E-05
0.475,0.019393175,0.019874063,0.019551324,0.020057013,0.01996425,0.019767965
