Time (ms),Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,AVG
0,0.025059151,0.021013637,0.028529724,0.021617565,0.021773782,0.023598772
0.0125,-0.139935573,-0.139159325,-0.143483448,-0.13853124,-0.138740602,-0.139970038
0.025,-0.305516414,-0.30917863,-0.302430747,-0.307759803,-0.30873736,-0.306724591
0.0375,-0.21834471,-0.217238315,-0.223530435,-0.217178728,-0.21783419,-0.218825276
0.05,0.043136733,0.04082409,0.046860151,0.04085791,0.040207278,0.042377232
0.0625,0.333927573,0.335220787,0.32977093,0.335417265,0.335322247,0.33393176
0.075,0.581155447,0.579353319,0.586289659,0.580815636,0.579883167,0.581499446
0.0875,0.732307199,0.733455474,0.728348633,0.734400827,0.734334797,0.732569386
0.1,0.794821322,0.793302637,0.799317793,0.794781061,0.793677879,0.795180138
0.1125,0.772884928,0.772643356,0.766344756,0.772952568,0.772638524,0.771492826
0.125,0.694644458,0.693417271,0.697767183,0.694546219,0.693093564,0.694693739
0.1375,0.577696135,0.577196886,0.571925783,0.578298454,0.577725123,0.576568476
0.15,0.445068295,0.444485302,0.448846479,0.446084507,0.443546392,0.445606195
0.1625,0.310565984,0.309259887,0.304397856,0.309084345,0.307842667,0.308230148
0.175,0.180230089,0.180040053,0.183212691,0.17982586,0.178349053,0.180331549
0.1875,0.064857212,0.063584937,0.060225485,0.063238685,0.062207981,0.06282286
0.2,-0.052994121,-0.051477055,-0.050422193,-0.052341879,-0.053784864,-0.052204023
0.2125,0.005525698,0.00434361,0.002029357,0.002839426,0.002528604,0.003453339
0.225,0.104996704,0.1074559,0.107753838,0.105628011,0.104112553,0.105989401
0.2375,-0.030347628,-0.031041742,-0.032906672,-0.033570188,-0.034149958,-0.032403237
0.25,-0.325359053,-0.322568104,-0.323788842,-0.324946772,-0.325888899,-0.324510334
0.2625,-0.639876317,-0.642219555,-0.641797611,-0.644200436,-0.644073208,-0.642433425
0.275,-0.906299996,-0.904401248,-0.90607614,-0.90648681,-0.906496473,-0.905952134
0.2875,-1.068513258,-1.071803454,-1.069819352,-1.073697371,-1.072768128,-1.071320313
0.3,-1.141050581,-1.138826517,-1.142282593,-1.140984552,-1.140494968,-1.140727842
0.3125,-1.120025852,-1.124082634,-1.119967875,-1.124630195,-1.123992448,-1.122539801
0.325,-1.047209921,-1.04615184,-1.049417879,-1.04700056,-1.047077862,-1.047371613
0.3375,-0.925999297,-0.930217125,-0.925540312,-0.930821052,-0.93067772,-0.928651101
0.35,-0.79629345,-0.79373763,-0.79867856,-0.795496266,-0.7955784,-0.795956861
0.3625,-0.651117415,-0.654298098,-0.648423094,-0.654882699,-0.65543187,-0.652830635
0.375,-0.52198329,-0.519106985,-0.523762862,-0.520289072,-0.520931651,-0.521214772
0.3875,-0.394609392,-0.39701866,-0.390048533,-0.397218358,-0.397862548,-0.395351498
0.4,-0.292252556,-0.288379368,-0.294639278,-0.289073482,-0.289368199,-0.290742577
0.4125,-0.195889877,-0.19624257,-0.190929618,-0.196253844,-0.196875486,-0.195238279
0.425,-0.123019154,-0.119434239,-0.1259937,-0.119670979,-0.119261918,-0.121475998
0.4375,-0.056140988,-0.056403496,-0.050684701,-0.05583983,-0.055857545,-0.054985312
0.45,-0.009398572,-0.005923168,-0.012997983,-0.006314513,-0.005977924,-0.008122432
0.4625,0.033258078,0.033082536,0.039329569,0.033969908,0.033778261,0.034683671
0.475,0.061404353,0.06403426,0.058338008,0.064214633,0.064670397,0.06253233
0.4875,0.087413531,0.088184949,0.093887643,0.088779215,0.08855858,0.089364784
0.5,0.103843603,0.105384829,0.101181487,0.105259211,0.106715081,0.104476842
0.5125,0.117770997,0.118252529,0.124708927,0.118991738,0.119489375,0.119842713
0.525,0.127193891,0.127844524,0.124398105,0.126826703,0.129131294,0.127078903
0.5375,0.133242839,0.133829052,0.139341711,0.133540777,0.135080392,0.135006954
0.55,0.138232093,0.138227262,0.135433086,0.137291575,0.139361037,0.13770901
0.5625,0.138314227,0.141159938,0.14393962,0.140670354,0.141416004,0.141100029
0.575,0.141581883,0.142047311,0.139554294,0.141607651,0.14319719,0.141597666
0.5875,0.139697626,0.141072972,0.143314755,0.141998996,0.142206748,0.141658219
0.6,0.14133548,0.139465718,0.139874778,0.141087467,0.141849222,0.140722533
0.6125,0.136882514,0.138306175,0.139547852,0.139963355,0.139805528,0.138901085
0.625,0.138354489,0.135826042,0.137966364,0.137723183,0.137942207,0.137562457
0.6375,0.131120231,0.133387782,0.134239723,0.134854925,0.133727592,0.133466051
0.65,0.133326583,0.131574385,0.134563429,0.132257227,0.132088128,0.13276195
0.6625,0.127226101,0.130252185,0.128121525,0.129841514,0.129387359,0.128965737
0.675,0.130145894,0.126934605,0.130329488,0.127362991,0.127441905,0.128442976
0.6875,0.122637855,0.125093831,0.121853553,0.124544659,0.124446419,0.123715263
0.7,0.12404219,0.122003328,0.125762178,0.121703779,0.122244899,0.123151275
0.7125,0.115575919,0.119766377,0.113996042,0.119093198,0.119020726,0.117490452
0.725,0.116801491,0.116049399,0.119998285,0.116497111,0.116880404,0.117245338
0.7375,0.108649263,0.112335642,0.107816647,0.113264886,0.113976716,0.111208631
0.75,0.110866888,0.109327273,0.116192731,0.110628538,0.11094258,0.111591602
0.7625,0.104011093,0.107496162,0.102060807,0.107932601,0.108224097,0.105944952
0.775,0.106562086,0.104302589,0.1108073,0.105673104,0.105573254,0.106583667
0.7875,0.099947863,0.100600106,0.095854034,0.103102785,0.102113953,0.100323748
0.8,0.100925422,0.098128025,0.105610295,0.100914148,0.099384196,0.100992417
0.8125,0.094022923,0.095997366,0.090597442,0.097588516,0.096511108,0.094943471
0.825,0.094642956,0.093786183,0.099654756,0.095646282,0.093770078,0.095500051
0.8375,0.088724459,0.091969567,0.085242611,0.091827845,0.091228748,0.089798646
0.85,0.088779215,0.08950715,0.09496183,0.089421794,0.088684197,0.090270837
0.8625,0.084891527,0.084980103,0.080815413,0.086062342,0.086577695,0.084665416
0.875,0.084472803,0.082739931,0.089434678,0.084762689,0.084477635,0.085177547
0.8875,0.081081142,0.081337207,0.076984092,0.081295335,0.08256439,0.080652433
0.9,0.079622051,0.078747563,0.083991271,0.079195275,0.079804035,0.080272039
0.9125,0.0777233,0.076317355,0.073713217,0.076384995,0.077665323,0.076360838
0.925,0.074789014,0.075328523,0.078085657,0.075755299,0.075381669,0.075868033
0.9375,0.073935462,0.073565053,0.069889948,0.073036817,0.073978945,0.072881245
0.95,0.070009123,0.071645366,0.073130224,0.071735553,0.070807919,0.071465637
0.9625,0.069749837,0.069780436,0.067519328,0.069653208,0.069277967,0.069196155
0.975,0.064597926,0.067400153,0.067984755,0.067905842,0.067338955,0.067045526
0.9875,0.066123046,0.065147098,0.064457815,0.065364512,0.065916905,0.065401875
1,0.061206265,0.063937631,0.063098573,0.063006776,0.063283778,0.062906605
1.0125,0.063470593,0.062502697,0.063191981,0.06105327,0.062175771,0.062478862
1.025,0.057471573,0.060465446,0.058734185,0.059386428,0.059731069,0.05915774
1.0375,0.060363986,0.057796889,0.059872791,0.056820941,0.058370218,0.058644965
1.05,0.054002609,0.056708207,0.053376134,0.055215297,0.055611474,0.054982744
1.0625,0.056600306,0.054229686,0.058110931,0.0541089,0.053770701,0.055364105
1.075,0.049850804,0.052930032,0.049483615,0.052258464,0.052424343,0.051389452
1.0875,0.053511414,0.051723787,0.056418322,0.051132742,0.051380755,0.052833404
1.1,0.046333526,0.050699524,0.046307758,0.050047282,0.049080997,0.048493817
1.1125,0.050333946,0.048433586,0.054587211,0.049301632,0.047724976,0.05007627
1.125,0.044342979,0.047681494,0.042308948,0.048093775,0.04641566,0.045768571
1.1375,0.048639726,0.045341473,0.052321273,0.047647674,0.045386566,0.047867342
1.15,0.042867783,0.044199646,0.03960496,0.046425323,0.044937244,0.043606991
1.1625,0.047063071,0.043106134,0.050227655,0.045871319,0.044136838,0.046081003
1.175,0.041183226,0.041403861,0.036883257,0.04367141,0.043674631,0.041363277
1.1875,0.043977401,0.040273308,0.047380335,0.042793701,0.041953033,0.043275556
1.2,0.038714368,0.040402146,0.033900658,0.039861026,0.040097766,0.038595193
1.2125,0.041125249,0.039762787,0.044932412,0.03902841,0.038666054,0.040702982
1.225,0.037509732,0.037765798,0.032641266,0.03651768,0.038049241,0.036496744
1.2375,0.038946276,0.0371973,0.043180215,0.036545058,0.03712966,0.038599702
1.25,0.035989444,0.036991159,0.031666929,0.035106904,0.036380789,0.035227045
1.2625,0.035643192,0.035659296,0.040576077,0.035272782,0.035422557,0.036514781
1.275,0.034322602,0.034754209,0.030272257,0.033135682,0.034647918,0.033426534
1.2875,0.032523701,0.034137397,0.036838164,0.032668644,0.033035833,0.033840748
1.3,0.032067937,0.032974634,0.029132041,0.031177344,0.031528428,0.031376077
1.3125,0.028896912,0.032098536,0.034140618,0.03153487,0.029824545,0.031299096
1.325,0.029624846,0.0307554,0.028505566,0.030357612,0.02943481,0.029735647
1.3375,0.026717939,0.03004518,0.031291688,0.029785894,0.028666614,0.029301463
1.35,0.028864702,0.029207733,0.028354181,0.028637625,0.028573206,0.028727489
1.3625,0.025566449,0.027711602,0.028410548,0.028710096,0.027492577,0.027578254
1.375,0.028463694,0.026737264,0.028189913,0.028157703,0.027692276,0.02784817
1.3875,0.024835293,0.026695392,0.026297605,0.027816283,0.026870934,0.026503101
