Time (ms),Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,AVG
0,0.020285702,0.02004252,0.021511274,0.024392413,0.019420876,0.021130557
0.0125,-0.141589531,-0.14212904,-0.140993655,-0.144589844,-0.142544542,-0.142369322
0.025,-0.313100132,-0.314179149,-0.313633199,-0.310400979,-0.314050311,-0.313072754
0.0375,-0.224284137,-0.224490278,-0.224891286,-0.227869051,-0.225603115,-0.225427574
0.05,0.032074378,0.030273867,0.030652329,0.032832912,0.029429978,0.031052693
0.0625,0.323858866,0.323486846,0.323298419,0.320201471,0.322676775,0.322704475
0.075,0.569603469,0.566356741,0.566722319,0.568617855,0.565646519,0.567389381
0.0875,0.722844003,0.72096618,0.720445994,0.71806248,0.720053036,0.720474339
0.1,0.78492329,0.780349517,0.780003263,0.782552658,0.779913076,0.781548361
0.1125,0.761935252,0.762046375,0.758904323,0.75829395,0.759608104,0.760157601
0.125,0.686026768,0.682470823,0.680575286,0.682778425,0.680035775,0.682377415
0.1375,0.568384335,0.567986547,0.566060412,0.565601425,0.565332475,0.566673039
0.15,0.439185215,0.436120473,0.434883626,0.435482724,0.43422494,0.435979395
0.1625,0.300545593,0.301441018,0.299242717,0.298490624,0.299756459,0.299895282
0.175,0.176506667,0.172552948,0.171979619,0.170789477,0.171736437,0.172713029
0.1875,0.057097942,0.05814314,0.056265326,0.055258779,0.057033523,0.056759742
0.2,-0.053981343,-0.05736495,-0.057471241,-0.060130134,-0.058191123,-0.057427758
0.2125,-0.00128178,0.000240119,5.97E-05,-0.001091744,-0.000378303,-0.000490392
0.225,0.107729681,0.104574759,0.106889012,0.103637462,0.10454577,0.105475337
0.2375,-0.032227052,-0.030948335,-0.028415058,-0.029236401,-0.031463687,-0.030458107
0.25,-0.317379159,-0.319540414,-0.315554493,-0.319756218,-0.320261906,-0.318498438
0.2625,-0.638217531,-0.636107812,-0.633506899,-0.632740314,-0.637127241,-0.635539959
0.275,-0.89571758,-0.896714463,-0.894171527,-0.897086482,-0.896775661,-0.896093142
0.2875,-1.065975152,-1.063160045,-1.061725114,-1.058806937,-1.062633421,-1.062460134
0.3,-1.13111235,-1.130835348,-1.129606557,-1.131310438,-1.130060711,-1.130585081
0.3125,-1.118281709,-1.115257241,-1.114220096,-1.110488629,-1.114853012,-1.114620137
0.325,-1.038532693,-1.038569733,-1.036609788,-1.039806577,-1.038091423,-1.038322043
0.3375,-0.925306793,-0.923781676,-0.921652631,-0.91977482,-0.923282429,-0.92275967
0.35,-0.788845015,-0.789194487,-0.787592067,-0.791030426,-0.788675915,-0.789067582
0.3625,-0.65154419,-0.650088323,-0.649310465,-0.64585117,-0.649769449,-0.649312719
0.375,-0.517293594,-0.515890872,-0.515267619,-0.518533657,-0.515565556,-0.51651026
0.3875,-0.39565781,-0.393939436,-0.393717191,-0.390475309,-0.393683371,-0.393494623
0.4,-0.287902668,-0.28606995,-0.286097328,-0.288973633,-0.285902461,-0.286989208
0.4125,-0.195975232,-0.194498428,-0.194454945,-0.191237218,-0.194342212,-0.194101607
0.425,-0.120638874,-0.117182797,-0.117917173,-0.120733892,-0.117306803,-0.118755908
0.4375,-0.05719746,-0.055245565,-0.0554662,-0.053027942,-0.054839726,-0.055155379
0.45,-0.008348543,-0.004190297,-0.005443247,-0.007536864,-0.003916516,-0.005887093
0.4625,0.033262909,0.034523911,0.034799302,0.036517679,0.035137502,0.034848261
0.475,0.061861728,0.065581926,0.065894358,0.063208085,0.065791288,0.064467477
0.4875,0.087948209,0.088415247,0.090008007,0.09079714,0.089724563,0.089378633
0.5,0.103685776,0.106521824,0.107133805,0.105199623,0.107665262,0.106041258
0.5125,0.119672969,0.119296117,0.119771208,0.120637644,0.120425061,0.1199606
0.525,0.124948887,0.129066874,0.128867175,0.128482271,0.12986406,0.128245853
0.5375,0.134614963,0.134816273,0.135426643,0.13660068,0.135703645,0.135432441
0.55,0.134431369,0.138984185,0.139296617,0.139146843,0.13930789,0.138233381
0.5625,0.140826569,0.139932755,0.141398288,0.141515853,0.141414393,0.141017572
0.575,0.137956701,0.140926419,0.141995775,0.14306191,0.142058583,0.141199877
0.5875,0.141762256,0.140618818,0.142380678,0.141311322,0.141578661,0.141530347
0.6,0.135943606,0.140481927,0.141316154,0.142258282,0.141164769,0.140232948
0.6125,0.139045383,0.138773212,0.140224251,0.137739287,0.139823243,0.139121075
0.625,0.133149431,0.13737854,0.137280301,0.139159726,0.137700635,0.136933727
0.6375,0.134692266,0.134978931,0.135758401,0.134020698,0.135342898,0.134958639
0.65,0.128260026,0.131648467,0.131746706,0.134763127,0.132624415,0.131808548
0.6625,0.129725559,0.128458114,0.129810914,0.127185838,0.129514586,0.128939002
0.675,0.124264435,0.125911952,0.126351612,0.129248858,0.126457903,0.126446952
0.6875,0.124757241,0.12411305,0.124182301,0.121621644,0.123895636,0.123713974
0.7,0.119241361,0.121669959,0.121004832,0.124844206,0.120805133,0.121513098
0.7125,0.118083429,0.118408745,0.118486048,0.116827258,0.118503763,0.118061849
0.725,0.113079681,0.115182962,0.115443859,0.119959633,0.115464795,0.115826186
0.7375,0.112024819,0.112994326,0.113028146,0.110626926,0.113271327,0.112389109
0.75,0.108156457,0.110142173,0.110147004,0.114137763,0.109966631,0.110510006
0.7625,0.106206171,0.107708744,0.107755448,0.105394491,0.107539644,0.1069209
0.775,0.103102784,0.104473299,0.104684271,0.108559076,0.104759963,0.105115879
0.7875,0.100058985,0.101716164,0.101846613,0.099255358,0.101656577,0.100906739
0.8,0.097622335,0.098358323,0.099836739,0.101300662,0.09861922,0.099147456
0.8125,0.093638019,0.096237326,0.097741511,0.092560611,0.095662387,0.095167971
0.825,0.093626746,0.092855328,0.094982766,0.094538275,0.092716827,0.093743988
0.8375,0.089077152,0.090392911,0.091425225,0.087334617,0.090653808,0.089776743
0.85,0.088600451,0.087147802,0.088463561,0.089846959,0.088236484,0.088459052
0.8625,0.083775467,0.085289314,0.085273209,0.084223179,0.086460129,0.085004259
0.875,0.083949398,0.082516075,0.082820455,0.084814223,0.083704606,0.083560951
0.8875,0.078584904,0.081172938,0.080583504,0.080029501,0.081525632,0.080379296
0.9,0.079138908,0.078779772,0.078601009,0.07941752,0.078989133,0.078985268
0.9125,0.073585988,0.077209558,0.075666723,0.07613215,0.076541211,0.075827126
0.925,0.075090173,0.074991933,0.073985386,0.075074068,0.073800182,0.074588348
0.9375,0.06959523,0.073552168,0.071431172,0.072949851,0.072278282,0.071961341
0.95,0.071305555,0.070551853,0.070295787,0.070754773,0.070057437,0.070593081
0.9625,0.065383837,0.068215053,0.068574189,0.069983355,0.068224716,0.06807623
0.975,0.067749626,0.065941062,0.068124866,0.066068289,0.065873422,0.066751453
0.9875,0.061789256,0.064209801,0.065678554,0.066565926,0.063821676,0.064413043
1,0.06363003,0.062338428,0.064440099,0.061777983,0.06176671,0.06279065
1.0125,0.057556927,0.060660313,0.061641093,0.06271689,0.06014335,0.060543715
1.025,0.059663429,0.058399206,0.060162676,0.057010976,0.058764784,0.058800214
1.0375,0.054079911,0.05644731,0.0577373,0.059879233,0.056845097,0.05699777
1.05,0.055529339,0.055041365,0.056407048,0.053769089,0.054907695,0.055130907
1.0625,0.050659262,0.053184487,0.053976841,0.0575988,0.0529252,0.053668918
1.075,0.052804415,0.052351871,0.053308493,0.050338777,0.052379249,0.052236561
1.0875,0.04963661,0.051164951,0.050805815,0.053986503,0.050090764,0.051136929
1.1,0.050029566,0.05007627,0.049723575,0.046639516,0.048746017,0.049042989
1.1125,0.046831162,0.047697598,0.048470626,0.051321167,0.047559097,0.04837593
1.125,0.046446259,0.047156478,0.047710481,0.044299495,0.046576707,0.046437884
1.1375,0.043872719,0.046238507,0.046177309,0.048554371,0.04556855,0.046082291
1.15,0.043254297,0.045552445,0.044367135,0.041951422,0.044576497,0.043940359
1.1625,0.041858015,0.044449269,0.043065871,0.046510677,0.043386356,0.043854038
1.175,0.040368325,0.043339652,0.042250971,0.039814322,0.042531193,0.041660893
1.1875,0.040331284,0.041521425,0.041342663,0.043466879,0.040745176,0.041481486
1.2,0.037865647,0.040687199,0.04031679,0.037488796,0.040015631,0.039274813
1.2125,0.03845186,0.038836763,0.039258708,0.040518099,0.038984927,0.039210071
