Time (ms),Iteration 1,Iteration 2,AVG
0,0.024799863,0.024733834,0.024766848
0.0125,-0.122565001,-0.122104405,-0.122334703
0.025,-0.234966408,-0.235199927,-0.235083167
0.0375,-0.075827428,-0.075845143,-0.075836286
0.05,0.236881822,0.236791636,0.236836729
0.0625,0.561725,0.561604214,0.561664607
0.075,0.810787657,0.810190168,0.810488912
0.0875,0.94850505,0.947456624,0.947980837
0.1,0.978762866,0.977918971,0.978340918
0.1125,0.921973908,0.920290951,0.921132429
0.125,0.805899839,0.804421415,0.805160627
0.1375,0.654833346,0.654636868,0.654735107
0.15,0.491656238,0.491909084,0.491782661
0.1625,0.33027662,0.330771037,0.330523828
0.175,0.182217416,0.182615204,0.18241631
0.1875,0.052079701,0.052297115,0.052188408
0.2,-0.073026813,-0.072548502,-0.072787658
0.2125,-0.033716741,-0.033597566,-0.033657153
0.225,0.008073469,0.007522687,0.007798078
0.2375,-0.201312342,-0.202057991,-0.201685166
0.25,-0.547945717,-0.54822755,-0.548086634
0.2625,-0.896997906,-0.896538921,-0.896768414
0.275,-1.16214134,-1.16112191,-1.161631625
0.2875,-1.310084295,-1.309515797,-1.309800046
0.3,-1.344831888,-1.345010651,-1.34492127
0.3125,-1.289982356,-1.29013052,-1.290056438
0.325,-1.172250282,-1.172266387,-1.172258334
0.3375,-1.018197251,-1.018084518,-1.018140885
0.35,-0.849812671,-0.848542008,-0.84917734
0.3625,-0.682014328,-0.680218651,-0.681116489
0.375,-0.525891907,-0.523574437,-0.524733172
0.3875,-0.385682541,-0.38397544,-0.384828991
0.4,-0.266032441,-0.264070884,-0.265051662
0.4125,-0.164674064,-0.163899426,-0.164286745
0.425,-0.081708881,-0.081860265,-0.081784573
0.4375,-0.015442684,-0.016429905,-0.015936295
0.45,0.035879931,0.035042484,0.035461208
0.4625,0.075876085,0.075138487,0.075507286
0.475,0.105475015,0.104946779,0.105210897
0.4875,0.128929984,0.127438683,0.128184334
0.5,0.144430815,0.143503181,0.143966998
0.5125,0.156316128,0.15547707,0.155896599
0.525,0.164221955,0.163107506,0.16366473
0.5375,0.169183832,0.16883758,0.169010706
0.55,0.171467487,0.171472319,0.171469903
0.5625,0.172145498,0.172245347,0.172195423
0.575,0.171196928,0.171093857,0.171145392
0.5875,0.168929377,0.1692096,0.169069488
0.6,0.165924229,0.166304301,0.166114265
0.6125,0.162878818,0.162825672,0.162852245
0.625,0.159289067,0.158970192,0.15912963
0.6375,0.155212952,0.154966549,0.15508975
0.65,0.15111429,0.150859835,0.150987062
0.6625,0.147606673,0.147033344,0.147320009
0.675,0.143707711,0.143752804,0.143730258
0.6875,0.139409351,0.139973017,0.139691184
0.7,0.135748739,0.136186788,0.135967764
0.7125,0.13189326,0.132274942,0.132084101
