Time (ms),Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,AVG
0,-0.010840914,-0.01075427,-0.010741386,-0.010296251,-0.010382895,-0.010603143
0.0125,-0.126901364,-0.127101062,-0.127075939,-0.126551247,-0.126188246,-0.126763571
0.025,-0.219145116,-0.218906122,-0.219594761,-0.219105177,-0.218646192,-0.219079473
0.0375,-0.096247276,-0.096503664,-0.096876328,-0.096500443,-0.095603731,-0.096346288
0.05,0.14690676,0.147387648,0.146723488,0.146863921,0.147301004,0.147036564
0.0625,0.399500765,0.399434091,0.399508173,0.399503986,0.399510106,0.399491424
0.075,0.592968644,0.593150628,0.593276246,0.593235339,0.592557649,0.593037701
0.0875,0.700608716,0.700002531,0.700856731,0.701020034,0.700359092,0.700569421
0.1,0.724764342,0.724200673,0.725389531,0.724722791,0.724418732,0.724699214
0.1125,0.681721949,0.681161823,0.682634126,0.682295925,0.681643035,0.681891372
0.125,0.594216766,0.593832184,0.595062913,0.594954367,0.594312107,0.594475667
0.1375,0.481773047,0.481603303,0.482466842,0.482991858,0.482310947,0.482229199
0.15,0.360960088,0.361041578,0.361665155,0.361996592,0.361561118,0.361444906
0.1625,0.242603202,0.242557786,0.24317782,0.24336689,0.243440972,0.243029334
0.175,0.134391107,0.134667143,0.134951231,0.134826258,0.134858145,0.134738777
0.1875,0.040186019,0.040548376,0.040282326,0.040158319,0.040221128,0.040279233
0.2,-0.053862168,-0.053633158,-0.053840265,-0.054549518,-0.053826093,-0.053942241
0.2125,-0.004643163,-0.004838352,-0.005056411,-0.005243548,-0.004557486,-0.004867792
0.225,0.036207501,0.03562773,0.036134708,0.035761722,0.035852875,0.035916907
0.2375,-0.124244726,-0.124622543,-0.124488873,-0.124659906,-0.124484686,-0.124500147
0.25,-0.394131726,-0.394322406,-0.394400031,-0.394561078,-0.394743706,-0.39443179
0.2625,-0.665698632,-0.665721501,-0.666140223,-0.66617662,-0.666158905,-0.665979176
0.275,-0.871852954,-0.872255572,-0.871922848,-0.872486513,-0.872456559,-0.872194889
0.2875,-0.987971253,-0.987867538,-0.987955792,-0.98823537,-0.988570349,-0.98812006
0.3,-1.016720769,-1.016501745,-1.016483386,-1.016709818,-1.017293454,-1.016741834
0.3125,-0.976332366,-0.975281049,-0.975972264,-0.975736813,-0.976587143,-0.975981927
0.325,-0.888600258,-0.88789165,-0.888216965,-0.887916451,-0.888753252,-0.888275715
0.3375,-0.774809748,-0.773857636,-0.774824886,-0.77375521,-0.774510522,-0.774351601
0.35,-0.650803373,-0.650500926,-0.651308417,-0.650260966,-0.650566633,-0.650688063
0.3625,-0.528405854,-0.528075707,-0.529086762,-0.528242552,-0.528360439,-0.528434263
0.375,-0.414854325,-0.415303969,-0.41630826,-0.415040495,-0.415379339,-0.415377277
0.3875,-0.314921255,-0.315294241,-0.316198038,-0.315289087,-0.315542898,-0.315449104
0.4,-0.230032884,-0.230621351,-0.231082913,-0.230550168,-0.230377203,-0.230532904
0.4125,-0.159472555,-0.159742471,-0.16014058,-0.160320953,-0.159810433,-0.159897399
0.425,-0.102404764,-0.102892093,-0.102655676,-0.103230615,-0.102896925,-0.102816014
0.4375,-0.057363017,-0.056963942,-0.056832849,-0.057696063,-0.057113072,-0.057193789
0.45,-0.02246983,-0.022069788,-0.021651065,-0.022401224,-0.021856562,-0.022089694
0.4625,0.004008308,0.005320523,0.005024518,0.00434071,0.004783591,0.00469553
0.475,0.024290308,0.025095867,0.024584381,0.024552493,0.024843023,0.024673214
0.4875,0.039353404,0.040349643,0.039546661,0.039515095,0.039775348,0.03970803
0.5,0.050214126,0.050144232,0.049865297,0.050148741,0.04996869,0.050068217
0.5125,0.057789158,0.057950205,0.05743743,0.057495729,0.057297641,0.057594032
0.525,0.062844762,0.062341649,0.062075277,0.062305575,0.062231493,0.062359751
0.5375,0.066021263,0.065951047,0.06585313,0.065450189,0.065374818,0.065730089
0.55,0.067826928,0.067234918,0.067420122,0.067103825,0.067215914,0.067360341
0.5625,0.068239854,0.068127443,0.068277539,0.067825318,0.067886838,0.068071398
0.575,0.068071076,0.067790532,0.067895857,0.06799023,0.06746135,0.067841809
0.5875,0.06754735,0.067349261,0.067165023,0.067502578,0.067032964,0.067319435
0.6,0.066330152,0.06613915,0.065746194,0.066164596,0.066153,0.066106618
0.6125,0.064821781,0.064926784,0.06430965,0.064711625,0.064885556,0.064731079
0.625,0.063164602,0.062952986,0.062639909,0.062832522,0.063124018,0.062942807
0.6375,0.061424967,0.061374398,0.061204332,0.061078392,0.061321252,0.061280668
0.65,0.059159028,0.059301716,0.059476292,0.059301072,0.059094931,0.059266608
0.6625,0.056918213,0.057780461,0.057909621,0.057321153,0.056931096,0.057372109
0.675,0.054706386,0.055506148,0.055636274,0.05534961,0.0550069,0.055241064
0.6875,0.052998638,0.053645083,0.053781007,0.053859276,0.052921979,0.053441196
0.7,0.051082817,0.051326965,0.051512813,0.052138322,0.051197482,0.05145168
0.7125,0.049623726,0.049061026,0.049450439,0.050081101,0.049420162,0.049527291
0.725,0.04753655,0.04685081,0.047477929,0.047767492,0.047737537,0.047474064
0.7375,0.045880982,0.044634796,0.045201361,0.045482872,0.046098718,0.045459746
0.75,0.043860801,0.042699971,0.043487493,0.043608601,0.044055991,0.043542572
0.7625,0.041792951,0.041276955,0.04140837,0.041765251,0.042627177,0.041774141
0.775,0.039605604,0.039881639,0.039855872,0.040003069,0.040915242,0.040052285
0.7875,0.03777707,0.038325276,0.038103031,0.038098843,0.039032919,0.038267428
0.8,0.0359859,0.036857811,0.036622038,0.036109907,0.037069428,0.036529017
0.8125,0.034376069,0.034620861,0.034524877,0.03429007,0.035204497,0.034603275
0.825,0.032688935,0.033289643,0.032865766,0.032698276,0.033138902,0.032936304
0.8375,0.031312623,0.031014685,0.030949944,0.03121213,0.031308436,0.031159564
0.85,0.029640628,0.02995757,0.029624201,0.029537236,0.029406143,0.029633155
0.8625,0.027702582,0.027970243,0.027846237,0.028156414,0.027777308,0.027890557
0.875,0.025955539,0.026573961,0.02650149,0.026826162,0.026357192,0.026442869
0.8875,0.024577939,0.02457053,0.025043366,0.025127111,0.024438794,0.024751548
0.9,0.023174571,0.023664799,0.023544658,0.023292135,0.023166518,0.023368536
0.9125,0.021681982,0.02197058,0.02129257,0.021466823,0.021563129,0.021595017
0.925,0.020459954,0.020802985,0.020086002,0.020187784,0.01992431,0.020292207
0.9375,0.018919052,0.018798266,0.018781839,0.019143874,0.018401445,0.018808895
0.95,0.017617788,0.018117679,0.017919269,0.017986264,0.017206794,0.017769559
0.9625,0.015880085,0.016439564,0.01681094,0.016688866,0.015815022,0.016326895
0.975,0.014775299,0.015554769,0.01579473,0.015548972,0.014831022,0.015300958
0.9875,0.013921426,0.013721727,0.014181356,0.013839291,0.013902744,0.013913309
1,0.012757374,0.012929373,0.012954818,0.012612754,0.012795059,0.012809876
1.0125,0.011904467,0.01110245,0.011268651,0.011289587,0.011544042,0.01142184
1.025,0.010884714,0.010517526,0.010240202,0.010527511,0.010722378,0.010578466
1.0375,0.009733224,0.008708962,0.009020106,0.009571211,0.009749007,0.009356502
1.05,0.00886389,0.008242891,0.008200374,0.008370118,0.008418433,0.008419141
1.0625,0.007735269,0.006893635,0.007020862,0.007502394,0.007452792,0.007320991
1.075,0.006631772,0.006499391,0.006184704,0.006371197,0.006174075,0.006372228
1.0875,0.005328253,0.005236778,0.0055476,0.005441631,0.005151423,0.005341137
1.1,0.004579383,0.004410927,0.004640258,0.004548461,0.004564888,0.004548784
1.1125,0.003642408,0.00345205,0.004131993,0.003972233,0.003951297,0.003829996
1.125,0.003009492,0.002865193,0.002926069,0.002997896,0.003443031,0.003048336
1.1375,0.00184544,0.001798092,0.002452267,0.002241939,0.002141446,0.002095837
1.15,0.000733568,0.001170007,0.00134877,0.001557165,0.001240546,0.001210011
1.1625,-0.000310663,0.000274261,0.000824721,0.000519697,0.000430799,0.000347763
1.175,-0.001115901,-3.85E-05,-1.45E-06,-5.17E-05,-0.000413412,-0.000324191
1.1875,-0.002137586,-0.001140702,-0.00050843,-0.000795094,-0.001304326,-0.001177228
1.2,-0.002353712,-0.001468595,-0.001561358,-0.001612249,-0.002357255,-0.001870634
1.2125,-0.002658092,-0.002228417,-0.002230349,-0.0024964,-0.002861334,-0.002494918
1.225,-0.002886779,-0.002955707,-0.003505201,-0.003152507,-0.003598287,-0.003219696
1.2375,-0.003561246,-0.003776083,-0.003968052,-0.004151968,-0.00415229,-0.003921928
1.25,-0.004251817,-0.005040628,-0.004945932,-0.004811296,-0.004577456,-0.004725426
1.2625,-0.005092485,-0.005640047,-0.005377539,-0.005593343,-0.005308933,-0.00540247
1.275,-0.005793042,-0.006543201,-0.006160552,-0.006050718,-0.005753424,-0.006060187
1.2875,-0.006487157,-0.006636287,-0.006523231,-0.006869483,-0.006268454,-0.006556922
1.3,-0.007330723,-0.00744249,-0.007190934,-0.007523336,-0.007168709,-0.007331239
1.3125,-0.00794528,-0.007396753,-0.007619965,-0.007942704,-0.007654107,-0.007711762
1.325,-0.008256424,-0.007948823,-0.00825578,-0.008185885,-0.007731409,-0.008075664
1.3375,-0.008558227,-0.008086358,-0.008579163,-0.008596234,-0.008376566,-0.00843931
1.35,-0.008973085,-0.008952149,-0.009278109,-0.009022688,-0.009217878,-0.009088782
1.3625,-0.009736128,-0.00917987,-0.009812465,-0.00909677,-0.009773814,-0.009519809
1.375,-0.010130695,-0.009937438,-0.010417681,-0.009800547,-0.009922944,-0.010041861
1.3875,-0.010541044,-0.010148088,-0.010302694,-0.010485643,-0.010775529,-0.010450599
1.4,-0.010436041,-0.01120005,-0.010637994,-0.010806772,-0.010879566,-0.010792085
1.4125,-0.010811281,-0.01145225,-0.010783581,-0.011381712,-0.011171706,-0.011120106
1.425,-0.011287016,-0.012385037,-0.011621994,-0.011797214,-0.011296034,-0.011677459
1.4375,-0.011867753,-0.012229466,-0.012227533,-0.012091931,-0.011816218,-0.01204658
1.45,-0.012645934,-0.012938397,-0.01285433,-0.012374086,-0.01260374,-0.012683297
1.4625,-0.01330172,-0.012605028,-0.013254372,-0.012775416,-0.013392872,-0.013065882
1.475,-0.014079901,-0.013211533,-0.013394483,-0.013270799,-0.01372302,-0.013535947
1.4875,-0.01427187,-0.013285293,-0.013548122,-0.013613185,-0.01350625,-0.013644944
1.5,-0.014684151,-0.013888255,-0.013574856,-0.013801289,-0.013705305,-0.013930771
1.5125,-0.014575927,-0.01363702,-0.014075714,-0.01435336,-0.013963947,-0.014121194
1.525,-0.014854862,-0.01459332,-0.013999055,-0.014852929,-0.01423193,-0.014506419
1.5375,-0.014906075,-0.014894479,-0.014587523,-0.015192417,-0.014441292,-0.014804357
1.55,-0.015064545,-0.015621447,-0.014940861,-0.015512902,-0.014723125,-0.015172576
1.5625,-0.015320289,-0.015481336,-0.015564437,-0.015593103,-0.015286791,-0.015449191
1.575,-0.016040171,-0.015854322,-0.01567717,-0.01573869,-0.015854644,-0.015832999
1.5875,-0.016110388,-0.016246634,-0.01651977,-0.015594392,-0.015987992,-0.016091835
1.6,-0.016066583,-0.016491104,-0.016383524,-0.015627245,-0.016298813,-0.016173454
1.6125,-0.016087841,-0.016443434,-0.016808045,-0.01584788,-0.016394797,-0.0163164
1.625,-0.016618009,-0.016592564,-0.016953632,-0.016097826,-0.016446333,-0.016541673
1.6375,-0.016940104,-0.016710451,-0.017122732,-0.016766173,-0.016555201,-0.016818932
1.65,-0.017133039,-0.016751034,-0.016740083,-0.017257046,-0.01665344,-0.016906928
