Time (ms),Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,AVG
0,-0.010640893,-0.010656353,-0.010460198,-0.010928846,-0.010284978,-0.010594253
0.0125,-0.127789701,-0.128050276,-0.128651305,-0.127999063,-0.127632841,-0.128024637
0.025,-0.220263751,-0.220895379,-0.220698579,-0.220518206,-0.220269227,-0.220529028
0.0375,-0.096955563,-0.097555304,-0.098290968,-0.097152041,-0.097128206,-0.097416416
0.05,0.146852326,0.146306052,0.146966348,0.146812064,0.146907726,0.146768903
0.0625,0.399885025,0.399222152,0.399249853,0.400136904,0.4004867,0.399796127
0.075,0.593527803,0.593110044,0.594225785,0.594086317,0.59433562,0.593857114
0.0875,0.701485141,0.701345351,0.701032595,0.70194896,0.70254516,0.701671442
0.1,0.725784099,0.726044675,0.726385131,0.726291401,0.726903063,0.726281674
0.1125,0.683502176,0.683963096,0.682939473,0.683908339,0.684493911,0.683761399
0.125,0.596487222,0.59697552,0.596976164,0.596749086,0.596889198,0.596815438
0.1375,0.484647109,0.484903175,0.484308586,0.484891902,0.485118013,0.484773757
0.15,0.363844776,0.363972648,0.364932815,0.364402646,0.364325021,0.364295581
0.1625,0.246131112,0.245627033,0.245534914,0.246097293,0.246050589,0.245888188
0.175,0.137904199,0.137736388,0.138441132,0.137837848,0.137639759,0.137911865
0.1875,0.043836,0.043258806,0.042746353,0.043162822,0.043015624,0.043203921
0.2,-0.050484681,-0.050705638,-0.050445385,-0.051152705,-0.051355947,-0.050828871
0.2125,-0.001899236,-0.001950127,-0.003135758,-0.002885813,-0.002492535,-0.002472694
0.225,0.038573934,0.038952717,0.038936935,0.038219951,0.038496953,0.038636098
0.2375,-0.122003268,-0.121504021,-0.123133498,-0.12254181,-0.122289932,-0.122294506
0.25,-0.392350221,-0.391919581,-0.392184987,-0.392333794,-0.392404977,-0.392238712
0.2625,-0.663950303,-0.663704223,-0.664675016,-0.664083006,-0.664222473,-0.664127004
0.275,-0.870307866,-0.870392577,-0.870181927,-0.870434449,-0.870748492,-0.870413062
0.2875,-0.986023547,-0.986615235,-0.987106429,-0.986718949,-0.98667611,-0.986628054
0.3,-1.014555328,-1.01531998,-1.015109652,-1.0152984,-1.015556075,-1.015167887
0.3125,-0.97400942,-0.974903877,-0.975100354,-0.975108085,-0.975220173,-0.974868382
0.325,-0.886622597,-0.887389182,-0.887093822,-0.887578896,-0.887963799,-0.887329659
0.3375,-0.773257574,-0.773772603,-0.77410887,-0.774285056,-0.774475414,-0.773979904
0.35,-0.650150809,-0.650049994,-0.650450035,-0.650497061,-0.651167984,-0.650463176
0.3625,-0.528646137,-0.52860974,-0.528612961,-0.528614894,-0.529191765,-0.528735099
0.375,-0.416160096,-0.415996472,-0.415734609,-0.415260486,-0.416512145,-0.415932762
0.3875,-0.316432845,-0.316589061,-0.31620899,-0.316275663,-0.316914377,-0.316484187
0.4,-0.231672024,-0.231540931,-0.231447202,-0.23095955,-0.231874943,-0.23149893
0.4125,-0.161260181,-0.161255028,-0.161284661,-0.161184167,-0.161173216,-0.161231451
0.425,-0.104092541,-0.104101237,-0.104589211,-0.104184982,-0.103780431,-0.10414968
0.4375,-0.058655584,-0.058863013,-0.058930331,-0.059333594,-0.058672655,-0.058891035
0.45,-0.023439336,-0.023868689,-0.024321554,-0.024113159,-0.023681229,-0.023884793
0.4625,0.003207902,0.002660341,0.003255572,0.002277048,0.003195018,0.002919176
0.475,0.023424839,0.022609616,0.02239349,0.022550673,0.023625504,0.022920824
0.4875,0.038099166,0.03761248,0.038029593,0.037762576,0.038494054,0.037999574
0.5,0.048376574,0.048259009,0.047729485,0.048746017,0.049197594,0.048461736
0.5125,0.055802153,0.055908122,0.056425729,0.056050166,0.056194787,0.056076192
0.525,0.060874184,0.060732784,0.060632935,0.061020415,0.061084512,0.060868966
0.5375,0.06400527,0.063974027,0.064974776,0.064201104,0.063875144,0.064206064
0.55,0.066085682,0.06602996,0.065580959,0.065935586,0.06567179,0.065860796
0.5625,0.066880935,0.066637109,0.067390167,0.066697341,0.06633434,0.066787978
0.575,0.066954373,0.066651603,0.065808358,0.066725685,0.066357208,0.066499446
0.5875,0.066585574,0.066007413,0.066062814,0.06626831,0.065881474,0.066161117
0.6,0.065273359,0.064791826,0.063536944,0.06511682,0.064864942,0.064716778
0.6125,0.063743407,0.063566899,0.063618112,0.063948582,0.063542098,0.063683819
0.625,0.061711309,0.062433768,0.06110416,0.062003771,0.061560247,0.061762651
0.6375,0.060008393,0.06057689,0.060845196,0.060283462,0.059868281,0.060316444
0.65,0.058151515,0.058722911,0.058053276,0.057976939,0.058475542,0.058276037
0.6625,0.056223776,0.057021927,0.057325019,0.056341018,0.056478875,0.056678123
0.675,0.054630049,0.055045552,0.053970721,0.05432728,0.054886759,0.054572072
0.6875,0.052853373,0.052517428,0.053193183,0.052455908,0.052828572,0.052769693
0.7,0.051043843,0.050307534,0.05020092,0.050242471,0.051060914,0.050571136
0.7125,0.048636505,0.048738931,0.048986622,0.048646812,0.049213055,0.048844385
0.725,0.046558025,0.046848233,0.04641888,0.046332237,0.047346514,0.046700778
0.7375,0.044726593,0.045022598,0.045699964,0.044873146,0.045378835,0.045140227
0.75,0.042580152,0.042908689,0.043256229,0.042823978,0.043016268,0.042917063
0.7625,0.040605065,0.04110238,0.041910194,0.041333,0.04069815,0.041129758
0.775,0.038949174,0.039256453,0.03904387,0.039341164,0.038658967,0.039049926
0.7875,0.037238206,0.037411815,0.037270415,0.037748404,0.037169921,0.037367752
0.8,0.035370376,0.035522405,0.035419013,0.03583677,0.035635139,0.035556741
0.8125,0.03382271,0.03426398,0.033980536,0.034373814,0.034129022,0.034114013
0.825,0.03218389,0.032721789,0.032239613,0.032389065,0.032773324,0.032461536
0.8375,0.030416233,0.031148033,0.030823039,0.03092772,0.031155119,0.030894029
0.85,0.028790619,0.029357184,0.029181643,0.029145568,0.029744987,0.029244
0.8625,0.026918603,0.027663931,0.027414629,0.027602411,0.027921285,0.027504172
0.875,0.025623137,0.025859877,0.026132047,0.026056677,0.026191313,0.02597261
0.8875,0.024333791,0.024120886,0.024237806,0.024549272,0.024585025,0.024365356
