Time (ms),Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,AVG
0,-0.01001313,-0.00922142,-0.010752016,-0.010097519,-0.010069818,-0.010030781
0.0125,-0.119231964,-0.118603879,-0.119747316,-0.119400742,-0.11936821,-0.119270422
0.025,-0.18525302,-0.184990513,-0.185338697,-0.185196654,-0.185604426,-0.185276662
0.0375,-0.062093303,-0.061332837,-0.061461675,-0.06161016,-0.061849799,-0.061669555
0.05,0.160402227,0.161399434,0.161699949,0.16149252,0.161114058,0.161221638
0.0625,0.383184042,0.383609209,0.384637338,0.384447624,0.384200254,0.384015693
0.075,0.547098939,0.546923397,0.548655629,0.548350926,0.548033984,0.547812575
0.0875,0.631308077,0.631014969,0.632712739,0.632063715,0.632066936,0.631833287
0.1,0.63954279,0.639569846,0.64057221,0.640045582,0.640434353,0.640032956
0.1125,0.5891051,0.588880599,0.589730289,0.589527691,0.590089104,0.589466557
0.125,0.499865174,0.499446127,0.500333501,0.499845848,0.50048231,0.499994592
0.1375,0.3907578,0.390296237,0.390678886,0.39020766,0.390806436,0.390549404
0.15,0.275510401,0.275514588,0.275212463,0.274450063,0.275812204,0.275299944
0.1625,0.16434725,0.164648087,0.163721741,0.163238276,0.164338553,0.164058781
0.175,0.063776261,0.06344257,0.062559063,0.062333919,0.062654404,0.062953243
0.1875,-0.023591043,-0.023910561,-0.02443622,-0.024925804,-0.024850112,-0.024342748
0.2,-0.111883693,-0.111803813,-0.112435119,-0.112945639,-0.112917939,-0.112397241
0.2125,-0.089395353,-0.088602355,-0.089503899,-0.08963628,-0.090021505,-0.089431878
0.225,-0.069114649,-0.068777738,-0.068927512,-0.068515231,-0.069336251,-0.068934276
0.2375,-0.219147371,-0.218696438,-0.218755382,-0.218597233,-0.218619458,-0.218763176
0.25,-0.456955948,-0.456276006,-0.456346545,-0.455984189,-0.455892714,-0.45629108
0.2625,-0.688631437,-0.68828132,-0.687924439,-0.687595903,-0.687667408,-0.688020102
0.275,-0.857968748,-0.858028335,-0.857425052,-0.857089108,-0.857632159,-0.857628681
0.2875,-0.945309508,-0.945373605,-0.944810261,-0.944753573,-0.944837961,-0.945016982
0.3,-0.954973632,-0.954722077,-0.954598392,-0.954689545,-0.954859611,-0.954768651
0.3125,-0.904039536,-0.904542326,-0.904196718,-0.904237302,-0.904547157,-0.904312608
0.325,-0.813597332,-0.814505639,-0.814062437,-0.814274697,-0.814290157,-0.814146052
0.3375,-0.702342355,-0.702798118,-0.703013922,-0.703135673,-0.703000072,-0.702858028
0.35,-0.584143342,-0.583788393,-0.584673831,-0.58516728,-0.584527922,-0.584460154
0.3625,-0.468760391,-0.468082382,-0.46925706,-0.469597836,-0.469506362,-0.469040806
0.375,-0.362887907,-0.362512989,-0.363874483,-0.363574291,-0.363629047,-0.363295743
0.3875,-0.270072796,-0.26981963,-0.270949216,-0.270850011,-0.270741143,-0.270486559
