Time (ms),Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,AVG
0,-0.010239885,-0.009567028,-0.009988973,-0.009835977,-0.010275315,-0.009981436
0.0125,-0.118508539,-0.117640493,-0.118500809,-0.11876235,-0.118643497,-0.118411137
0.025,-0.184183022,-0.183260864,-0.184079629,-0.184712545,-0.184094768,-0.184066166
0.0375,-0.060661269,-0.060160089,-0.060951154,-0.061513532,-0.060293114,-0.060715832
0.05,0.161625545,0.161825888,0.161102784,0.160675364,0.161739889,0.161393894
0.0625,0.383585374,0.383898129,0.383171803,0.382739228,0.383826945,0.383444296
0.075,0.546610963,0.547226811,0.546504672,0.54588045,0.546839652,0.546612509
0.0875,0.630492529,0.630125018,0.630381728,0.629781341,0.630426499,0.630241423
0.1,0.638816785,0.638604202,0.638680538,0.638508217,0.638352644,0.638592477
0.1125,0.58783121,0.587866963,0.588191958,0.588343021,0.587252081,0.587897047
0.125,0.498843486,0.499010976,0.49924675,0.499835541,0.498313638,0.499050078
0.1375,0.389954815,0.389586338,0.390404461,0.391255438,0.389113824,0.390062975
0.15,0.274889079,0.27516447,0.275383817,0.276303078,0.274304798,0.275209048
0.1625,0.163651846,0.164504754,0.164541151,0.165191783,0.16326662,0.164231231
0.175,0.06323192,0.063656763,0.063576562,0.064108663,0.062784208,0.063471623
0.1875,-0.023457373,-0.022541013,-0.023389733,-0.023273135,-0.023577515,-0.023247754
0.2,-0.111425674,-0.109825184,-0.111080388,-0.11172651,-0.111259151,-0.111063381
0.2125,-0.087940772,-0.0862137,-0.087393533,-0.088569824,-0.087328148,-0.087489195
0.225,-0.0676372,-0.066167803,-0.067319614,-0.06848431,-0.067394663,-0.067400718
0.2375,-0.217073403,-0.215352129,-0.217180339,-0.218071897,-0.217087253,-0.216953004
0.25,-0.453933413,-0.453011256,-0.454804034,-0.454721256,-0.454444899,-0.454182972
0.2625,-0.684730873,-0.684698019,-0.685928742,-0.685433361,-0.685365077,-0.685231214
0.275,-0.85336956,-0.853954162,-0.85511338,-0.854095562,-0.854787743,-0.854264081
0.2875,-0.94053349,-0.940910019,-0.942114974,-0.941046587,-0.942104667,-0.941341947
0.3,-0.950536136,-0.950434354,-0.951689879,-0.950586383,-0.951659924,-0.950981335
0.3125,-0.900033647,-0.90018954,-0.900958058,-0.90016957,-0.900979638,-0.900466091
0.325,-0.810280403,-0.810432432,-0.810215984,-0.810191183,-0.811030239,-0.810430048
0.3375,-0.699289221,-0.699467339,-0.699205154,-0.698820252,-0.699876721,-0.699331738
0.35,-0.58196405,-0.581347561,-0.581254476,-0.581016448,-0.582000125,-0.581516532
0.3625,-0.467357347,-0.466669031,-0.46642134,-0.466635855,-0.467185026,-0.46685372
0.375,-0.362471761,-0.361497103,-0.361531889,-0.361915504,-0.361503545,-0.36178396
0.3875,-0.270438052,-0.269446322,-0.269538441,-0.269682418,-0.269137433,-0.269648533
0.4,-0.191823431,-0.190835566,-0.191584759,-0.191880764,-0.19081463,-0.19138783
0.4125,-0.126878817,-0.126477809,-0.126797327,-0.127358416,-0.126790885,-0.126860651
0.425,-0.074148992,-0.074517791,-0.074689789,-0.07537875,-0.074093592,-0.074565783
0.4375,-0.032950477,-0.032683461,-0.033265808,-0.034392496,-0.033071585,-0.033272766
0.45,-0.000990928,-0.000568984,-0.001267608,-0.002052875,-0.001177421,-0.001211563
0.4625,0.023143972,0.023613264,0.022931389,0.022343566,0.023304697,0.023067378
0.475,0.041148117,0.041821618,0.041229929,0.041485028,0.0416406,0.041465059
0.4875,0.054549848,0.05525427,0.054801726,0.055172457,0.055137349,0.05498313
0.5,0.063913795,0.063977248,0.06462627,0.0650553,0.06447102,0.064408727
0.5125,0.070116702,0.070289023,0.071084598,0.071686271,0.071013093,0.070837937
0.525,0.074474327,0.074628288,0.075146861,0.075770759,0.074954248,0.074994897
0.5375,0.076823044,0.077521024,0.077781599,0.078008032,0.077326478,0.077492035
0.55,0.077978721,0.078748528,0.0790178,0.078599076,0.078159094,0.078500644
0.5625,0.078206442,0.078527571,0.079036159,0.078603586,0.078355572,0.078545866
0.575,0.077424717,0.078361048,0.078202577,0.077494934,0.078201933,0.077937042
0.5875,0.076834639,0.077647607,0.077024997,0.076444904,0.077343227,0.077059075
0.6,0.075701509,0.077022099,0.075390365,0.074980338,0.076095753,0.075838013
0.6125,0.074261422,0.074841515,0.073295136,0.073225886,0.074672737,0.074059339
0.625,0.072461876,0.072621958,0.071569995,0.071392199,0.07309576,0.072228358
0.6375,0.070494198,0.070584062,0.069939228,0.069467036,0.070864929,0.070269891
0.65,0.068377389,0.068284625,0.067818554,0.067679409,0.068691754,0.068170346
0.6625,0.066246408,0.06621291,0.065498503,0.066032859,0.066348512,0.066067838
0.675,0.064163097,0.063440638,0.063387492,0.064079674,0.063802028,0.063774586
0.6875,0.061933877,0.061789578,0.061392435,0.062027929,0.061441071,0.061716978
0.7,0.060138197,0.060062182,0.059510112,0.060179103,0.059176421,0.059813203
0.7125,0.057772731,0.057542111,0.057402644,0.058258128,0.056760386,0.0575472
0.725,0.055161506,0.054981455,0.055357662,0.055930991,0.054765329,0.055239389
0.7375,0.052610513,0.053126832,0.053170959,0.053322988,0.052506799,0.052947618
0.75,0.050082389,0.051431323,0.051024517,0.050939162,0.050542663,0.050804011
0.7625,0.047830623,0.04963661,0.048968907,0.048359181,0.048575307,0.048674125
0.775,0.04630808,0.047342327,0.047067902,0.045966981,0.046538055,0.046644669
0.7875,0.044623522,0.045031617,0.045163354,0.044128462,0.045501876,0.044889766
0.8,0.042971819,0.043279742,0.0430488,0.042566301,0.043687192,0.043110771
0.8125,0.041455718,0.041535597,0.041118162,0.040701693,0.041978156,0.041357865
0.825,0.039575327,0.039612046,0.039036784,0.038754629,0.040152199,0.039426197
0.8375,0.037834081,0.037829894,0.036883901,0.036996312,0.038142326,0.037537303
0.85,0.036100244,0.036016821,0.035236063,0.03528792,0.036288991,0.035786008
0.8625,0.034397972,0.033937698,0.033630419,0.034071045,0.03433323,0.034074073
0.875,0.032869631,0.032724688,0.032190976,0.032709872,0.032408391,0.032580711
0.8875,0.030906784,0.030688403,0.03050803,0.031494929,0.030344728,0.030788575
0.9,0.029123988,0.028601872,0.028890147,0.029971098,0.029074385,0.029132298
0.9125,0.027417206,0.027203979,0.027528973,0.028423753,0.02707804,0.02753039
0.925,0.02586954,0.02592945,0.026060542,0.026890903,0.025410554,0.026032198
0.9375,0.024024257,0.024830139,0.024506434,0.025104564,0.024320263,0.024557131
0.95,0.022943629,0.02287309,0.022844423,0.023432569,0.022600275,0.022938797
0.9625,0.02148937,0.02134636,0.021446531,0.0214971,0.021348614,0.021425595
0.975,0.019919801,0.020278615,0.020022871,0.019598672,0.020178443,0.01999968
0.9875,0.01864817,0.019498178,0.018723218,0.017741794,0.019090084,0.018740289
1,0.017273146,0.018330262,0.017371385,0.01662187,0.018188218,0.017556976
1.0125,0.015984766,0.017328546,0.016020197,0.015437527,0.016617039,0.016277615
1.025,0.014603301,0.015880085,0.015019769,0.014462223,0.014999478,0.014992971
1.0375,0.0132257,0.014476073,0.013379984,0.0137053,0.013737509,0.013704913
1.05,0.012304831,0.013829951,0.012219476,0.013082046,0.012602447,0.01280775
1.0625,0.011556604,0.012834678,0.011389115,0.012013657,0.011438717,0.011846554
1.075,0.010715936,0.011361093,0.010570671,0.011002279,0.010218622,0.01077372
1.0875,0.009944841,0.009258779,0.009905223,0.009918107,0.009466208,0.009698631
1.1,0.008927343,0.008286052,0.009038788,0.008592364,0.008371407,0.008643191
1.1125,0.00786604,0.007401901,0.008150128,0.007849935,0.007172891,0.007688179
1.125,0.006866579,0.006509376,0.00709269,0.006800872,0.006376995,0.006729302
1.1375,0.00543068,0.004990054,0.006186314,0.006094195,0.005155933,0.005571435
1.15,0.004465683,0.003849839,0.005112772,0.004893425,0.004530102,0.004570364
1.1625,0.003946144,0.002368525,0.004092053,0.003633712,0.003376036,0.003483294
1.175,0.002896436,0.001260518,0.002841036,0.002349841,0.002479001,0.002365367
1.1875,0.002138547,0.000955817,0.001541383,0.001058562,0.001540094,0.001446881
1.2,0.001590019,-0.00020437,0.000603442,5.49E-05,0.000993821,0.000607565
1.2125,0.000759014,-0.001523027,-0.000419854,-0.000899453,0.00069234,-0.000278196
1.225,0.000189872,-0.002349201,-0.000946157,-0.001280813,-0.000321937,-0.000941647
1.2375,-0.000859191,-0.002051264,-0.001433164,-0.001671515,-0.001106238,-0.001424274
1.25,-0.001793911,-0.003066507,-0.001999085,-0.00189988,-0.002162387,-0.002184354
1.2625,-0.002700286,-0.003582504,-0.00282397,-0.002227773,-0.00274699,-0.002816305
1.275,-0.003545463,-0.003657874,-0.003240439,-0.002740226,-0.004022808,-0.003441362
1.2875,-0.004005737,-0.003866914,-0.003759656,-0.003392468,-0.004720465,-0.003949048
1.3,-0.005179773,-0.005015505,-0.004526887,-0.003919738,-0.005476422,-0.004823665
1.3125,-0.006227226,-0.006101931,-0.005218747,-0.004692765,-0.005853918,-0.005618917
1.325,-0.006915221,-0.006157653,-0.005930576,-0.005704788,-0.006305495,-0.006202747
1.3375,-0.007802592,-0.006837596,-0.00664144,-0.006449794,-0.006833409,-0.006912966
1.35,-0.008231623,-0.006903947,-0.007067572,-0.007435082,-0.007352948,-0.007398234
1.3625,-0.00900143,-0.007369053,-0.007737851,-0.008094088,-0.007424131,-0.007925311
1.375,-0.009260716,-0.007474056,-0.008459022,-0.00898146,-0.007657972,-0.008366645
1.3875,-0.009247188,-0.00794528,-0.008998853,-0.009433037,-0.008319877,-0.008788847
1.4,-0.009186957,-0.007934007,-0.0096395,-0.009975767,-0.008568534,-0.009060953
1.4125,-0.009231406,-0.007822562,-0.009875596,-0.010379352,-0.008930247,-0.009247832
1.425,-0.009491014,-0.009415,-0.010111369,-0.010417681,-0.009120605,-0.009711134
1.4375,-0.010144223,-0.010177399,-0.010526549,-0.010332648,-0.01018384,-0.010272932
1.45,-0.01041446,-0.010906299,-0.011129833,-0.010234731,-0.010844779,-0.010706021
1.4625,-0.010754915,-0.01159204,-0.011609755,-0.0102853,-0.011250941,-0.01109859
1.475,-0.011222597,-0.011990793,-0.011943767,-0.010547164,-0.012056823,-0.011552229
1.4875,-0.01168287,-0.012138313,-0.012193391,-0.011093759,-0.012377951,-0.011897257
1.5,-0.012323195,-0.012370865,-0.012315787,-0.011374948,-0.012911663,-0.012259292
1.5125,-0.012621133,-0.012736443,-0.012652054,-0.0121702,-0.013022463,-0.012640459
1.525,-0.013167084,-0.012940651,-0.012703911,-0.012785079,-0.0132679,-0.012972925
1.5375,-0.013950419,-0.012867858,-0.013316214,-0.013589995,-0.013371292,-0.013419155
1.55,-0.014100193,-0.012718083,-0.013815139,-0.014371719,-0.013661178,-0.013733262
1.5625,-0.014376873,-0.013134552,-0.014255443,-0.014965018,-0.013902105,-0.014126798
1.575,-0.014475434,-0.013634766,-0.014483808,-0.015572811,-0.014149796,-0.014463323
1.5875,-0.014246746,-0.014159136,-0.014709275,-0.015564437,-0.014690593,-0.014674037
1.6,-0.014373974,-0.014195211,-0.014937318,-0.01554962,-0.014832959,-0.014777816
1.6125,-0.014537598,-0.014725057,-0.01502686,-0.015282926,-0.015093856,-0.014933259
1.625,-0.014825229,-0.014606204,-0.015469419,-0.015156987,-0.015452026,-0.015101973
1.6375,-0.014830382,-0.014792697,-0.015586017,-0.014858727,-0.015763169,-0.015166198
1.65,-0.015510969,-0.014827161,-0.015795701,-0.0148977,-0.016004418,-0.01540719
1.6625,-0.015743521,-0.015190162,-0.015836929,-0.015042321,-0.016142275,-0.015591042
1.675,-0.016039849,-0.015861408,-0.015906179,-0.014870966,-0.015728383,-0.015681357
1.6875,-0.016262416,-0.016096215,-0.015938067,-0.015277128,-0.016337465,-0.015982258
1.7,-0.01647661,-0.016946546,-0.016007961,-0.015636264,-0.016530399,-0.016319556
1.7125,-0.016926254,-0.016964905,-0.01619993,-0.015989602,-0.01647661,-0.01651146
1.725,-0.016892756,-0.017361726,-0.01640285,-0.016478864,-0.016641522,-0.016755544
1.7375,-0.017282813,-0.016765207,-0.016866022,-0.017289255,-0.016934629,-0.017027585
1.75,-0.01725769,-0.016544894,-0.017195203,-0.017565613,-0.017389105,-0.017190501
1.7625,-0.017053804,-0.016358401,-0.017171046,-0.017971452,-0.017069586,-0.017124858
1.775,-0.016747814,-0.01633682,-0.017342723,-0.018129279,-0.017313412,-0.01717401
1.7875,-0.016611889,-0.01631685,-0.017851955,-0.018436557,-0.017615537,-0.017366558
1.8,-0.016753611,-0.016150327,-0.017912187,-0.018453306,-0.018021699,-0.017458226
1.8125,-0.016900164,-0.016792907,-0.018028785,-0.018032972,-0.017821678,-0.017515301
1.825,-0.017367202,-0.017025781,-0.017861296,-0.017512145,-0.017556272,-0.017464539
1.8375,-0.017958568,-0.017724083,-0.018286461,-0.017121766,-0.017746952,-0.017767566
1.85,-0.018449119,-0.017914119,-0.018013003,-0.017260267,-0.017544999,-0.017836301
1.8625,-0.019042096,-0.018184679,-0.017892217,-0.017395546,-0.017665784,-0.018036065
1.875,-0.019235675,-0.018057774,-0.017932479,-0.017761446,-0.018024276,-0.01820233
