Time (ms),Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,AVG
0,-0.012432063,-0.01223172,-0.012570242,-0.012005287,-0.011746645,-0.012197191
0.0125,-0.119097006,-0.119844588,-0.120049763,-0.118750432,-0.119121163,-0.119372591
0.025,-0.208211289,-0.208906691,-0.20913248,-0.208485069,-0.208895418,-0.20872619
0.0375,-0.10320678,-0.103765614,-0.103676394,-0.103547878,-0.103986894,-0.103636712
0.05,0.11446469,0.114144527,0.114324256,0.11411876,0.114134542,0.114237355
0.0625,0.346125976,0.345612555,0.346275428,0.34551496,0.345733663,0.345852516
0.075,0.528048892,0.527680092,0.528588403,0.527874316,0.528161626,0.528070666
0.0875,0.634332883,0.633583043,0.634867563,0.634405999,0.63436928,0.634311753
0.1,0.664267225,0.663633339,0.664826062,0.66473813,0.664475943,0.66438814
0.1125,0.632163565,0.631821176,0.632904064,0.632548792,0.632034726,0.632294465
0.125,0.556764397,0.556535709,0.557517458,0.557138673,0.556793386,0.556949924
0.1375,0.456200891,0.455990241,0.457048004,0.45650656,0.456336172,0.456416374
0.15,0.345458593,0.34473259,0.345416399,0.345256962,0.34548887,0.345270683
0.1625,0.234786269,0.234557582,0.23438816,0.234621679,0.234987901,0.234668318
0.175,0.131862016,0.131532835,0.131703545,0.131839791,0.131810803,0.131749798
0.1875,0.040483957,0.040416639,0.040558361,0.040399246,0.040482347,0.04046811
0.2,-0.052543833,-0.053174817,-0.052860775,-0.053029874,-0.052983493,-0.052918558
0.2125,-0.013235368,-0.01448413,-0.014066373,-0.013657957,-0.013493366,-0.013787439
0.225,0.023160399,0.021915501,0.022522973,0.022361281,0.022691106,0.022530252
0.2375,-0.121059208,-0.121729809,-0.12156844,-0.12169309,-0.121657016,-0.121541513
0.25,-0.367384992,-0.368273651,-0.368174768,-0.368070087,-0.36843341,-0.368067382
0.2625,-0.619624949,-0.620325504,-0.620417623,-0.620278156,-0.620351594,-0.620199565
0.275,-0.816176343,-0.816361547,-0.816469449,-0.816593455,-0.81693101,-0.816506361
0.2875,-0.932170306,-0.932086239,-0.93251398,-0.932711746,-0.932875693,-0.932471593
0.3,-0.9680336,-0.968258422,-0.968518352,-0.968672635,-0.968735444,-0.968443691
0.3125,-0.938999354,-0.939426451,-0.939507619,-0.939605214,-0.939696366,-0.939447001
0.325,-0.864753347,-0.86484611,-0.864919547,-0.86494918,-0.865046452,-0.864902927
0.3375,-0.763557055,-0.76322111,-0.763808933,-0.763424996,-0.763739038,-0.763550226
0.35,-0.650375309,-0.650122787,-0.650684842,-0.64996174,-0.650743463,-0.650377628
0.3625,-0.536270436,-0.536493003,-0.536614755,-0.536267537,-0.536803502,-0.536489847
0.375,-0.428966898,-0.428842891,-0.429309284,-0.429326033,-0.429381434,-0.429165308
0.3875,-0.332534356,-0.332702811,-0.332895102,-0.333129264,-0.332884795,-0.332829266
0.4,-0.249005228,-0.248963355,-0.249050321,-0.249615919,-0.249206859,-0.249168336
0.4125,-0.178713853,-0.179209879,-0.178396589,-0.179137729,-0.178832383,-0.178858087
0.425,-0.120835996,-0.120927149,-0.120396981,-0.120988025,-0.121042459,-0.120838122
0.4375,-0.074107442,-0.073946072,-0.073514465,-0.073831407,-0.074114206,-0.073902718
0.45,-0.036708681,-0.036434256,-0.036113772,-0.036479994,-0.036996634,-0.036546667
0.4625,-0.007515606,-0.007364865,-0.007376139,-0.007696623,-0.007872487,-0.007565144
0.475,0.014827801,0.015387924,0.015060353,0.014576567,0.014603945,0.014891318
0.4875,0.0318502,0.032412256,0.031753894,0.031265275,0.031472382,0.031750801
0.5,0.044481801,0.044889895,0.044594212,0.043918779,0.04431109,0.044439155
0.5125,0.053536537,0.053213475,0.053414463,0.053086248,0.0537707,0.053404284
0.525,0.059872791,0.059296885,0.059969097,0.059777128,0.060483805,0.059879941
0.5375,0.06414667,0.063499903,0.064267456,0.064631745,0.064553798,0.064219914
0.55,0.067171465,0.066482181,0.067001721,0.067393388,0.067412392,0.067092229
0.5625,0.068711723,0.067948358,0.068444385,0.068741356,0.068769701,0.068523105
0.575,0.069128192,0.069018358,0.069144941,0.069102747,0.069159113,0.06911067
0.5875,0.068986793,0.069123361,0.069036717,0.068981639,0.068796112,0.068984924
0.6,0.06838834,0.068918831,0.068371913,0.068063668,0.067975736,0.068343698
0.6125,0.067202386,0.067551859,0.067634638,0.067123473,0.066983039,0.067299079
0.625,0.065720749,0.065471769,0.065981324,0.065885983,0.065663416,0.065744648
0.6375,0.064022019,0.06378077,0.06433574,0.064724509,0.064267134,0.064226034
0.65,0.062378046,0.061794732,0.062621228,0.063223868,0.06271689,0.062546953
0.6625,0.060631324,0.060158811,0.060755975,0.061353784,0.060660313,0.060712041
0.675,0.059000235,0.058788619,0.058955142,0.059249859,0.058554778,0.058909726
0.6875,0.056819007,0.056975223,0.056857659,0.057199079,0.056646042,0.056899402
0.7,0.055086136,0.05487774,0.054829748,0.055017852,0.054876452,0.054937586
0.7125,0.053071753,0.053091079,0.052668813,0.053052428,0.052902976,0.05295741
0.725,0.050831582,0.051226149,0.050649599,0.050736564,0.051040944,0.050896968
0.7375,0.048750526,0.049096456,0.048828151,0.048695126,0.04925074,0.0489242
0.75,0.046481689,0.046575096,0.046864016,0.046698137,0.047389675,0.046801722
0.7625,0.044582939,0.04480615,0.044763312,0.044952704,0.045197496,0.04486052
0.775,0.042884531,0.043047834,0.042774697,0.043133511,0.043126747,0.042993464
0.7875,0.041038927,0.041030552,0.040827955,0.041238304,0.040924583,0.041012064
0.8,0.03930831,0.038970433,0.039238416,0.039283509,0.038871871,0.039134508
0.8125,0.037669813,0.037159936,0.037562555,0.037696547,0.037128693,0.037443509
0.825,0.03609348,0.035472481,0.035926312,0.035905376,0.035038296,0.035687189
0.8375,0.034219853,0.033606584,0.033910642,0.033983435,0.033387559,0.033821615
0.85,0.032472165,0.031717819,0.032096925,0.032228984,0.032043457,0.03211187
0.8625,0.031091344,0.029774942,0.030663602,0.030584044,0.030695811,0.030561949
0.875,0.029327874,0.028600261,0.029057958,0.028943292,0.028792874,0.028944452
0.8875,0.027282893,0.026936963,0.027699361,0.027092212,0.026786544,0.027159595
0.9,0.025303297,0.025068167,0.025933637,0.025524254,0.025012445,0.02536836
0.9125,0.023426449,0.023589429,0.024573751,0.024044871,0.023455438,0.023817988
0.925,0.021847861,0.022077837,0.023059905,0.022220847,0.021933217,0.022227933
0.9375,0.020305348,0.020654822,0.021640432,0.020572365,0.020953404,0.020825274
0.95,0.018853344,0.019726866,0.02049313,0.019006661,0.020105972,0.019637195
0.9625,0.017688327,0.018716132,0.01901729,0.0180378,0.018869127,0.018465735
0.975,0.016490777,0.01762423,0.017376216,0.017125949,0.017324359,0.017188306
0.9875,0.015489706,0.016198315,0.01570551,0.016151933,0.015984444,0.015905982
1,0.014258981,0.015118653,0.014415519,0.015043927,0.014542747,0.014675965
