Time (ms),Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,AVG
0,-0.012366356,-0.012300648,-0.012352183,-0.012287764,-0.011724098,-0.01220621
0.0125,-0.119034842,-0.119210384,-0.118881847,-0.118400959,-0.118286294,-0.118762865
0.025,-0.20835752,-0.208221918,-0.208242854,-0.208058294,-0.20769175,-0.208114467
0.0375,-0.103926984,-0.103696364,-0.103425482,-0.103592649,-0.103278607,-0.103584017
0.05,0.11333478,0.113850776,0.113810515,0.113551228,0.113765421,0.113662544
0.0625,0.344273604,0.344643047,0.344837915,0.344332869,0.344713908,0.344560269
0.075,0.525920804,0.526162054,0.526432615,0.526017433,0.526224218,0.526151425
0.0875,0.632374216,0.632261804,0.632389676,0.632234426,0.632303676,0.63231276
0.1,0.662789447,0.662173276,0.662397456,0.662127217,0.662336901,0.662364859
0.1125,0.631299058,0.630084111,0.630080568,0.630008419,0.630536334,0.630401698
0.125,0.555919539,0.555250546,0.555201265,0.55509143,0.555383571,0.55536927
0.1375,0.456044353,0.455372139,0.455316416,0.455347337,0.45534766,0.455485581
0.15,0.345310429,0.34509076,0.345075622,0.345122326,0.344736455,0.345067118
0.1625,0.235283907,0.235119638,0.235026875,0.23513993,0.234427777,0.234999625
0.175,0.132436634,0.132829268,0.132473352,0.132536805,0.131809192,0.13241705
0.1875,0.041410947,0.041859303,0.041708562,0.041738517,0.04103635,0.041550736
0.2,-0.051585923,-0.050703705,-0.051212937,-0.051526013,-0.051788199,-0.051363355
0.2125,-0.012287121,-0.011806233,-0.011988216,-0.011947632,-0.01215635,-0.01203711
0.225,0.024345708,0.024315431,0.024112833,0.024354405,0.024223312,0.024270338
0.2375,-0.119378517,-0.119213605,-0.119627818,-0.119324405,-0.119329559,-0.119374781
0.25,-0.364731255,-0.364623997,-0.365248217,-0.364719981,-0.365068166,-0.364878323
0.2625,-0.616138276,-0.615888653,-0.616289016,-0.616291593,-0.616490969,-0.616219701
0.275,-0.811866074,-0.812049668,-0.812135345,-0.812144686,-0.812813676,-0.81220189
0.2875,-0.927449688,-0.927462894,-0.927758899,-0.92820049,-0.928471372,-0.927868669
0.3,-0.963204436,-0.963909501,-0.96414914,-0.964644843,-0.964840999,-0.964149784
0.3125,-0.934577962,-0.93495127,-0.935663421,-0.935879224,-0.935968122,-0.935408
0.325,-0.860472066,-0.860984197,-0.861229311,-0.861520806,-0.861900878,-0.861221451
0.3375,-0.759826879,-0.760346417,-0.760495225,-0.760764818,-0.761159384,-0.760518544
0.35,-0.647439418,-0.648129022,-0.648131599,-0.648108408,-0.6483532,-0.648032329
0.3625,-0.5341765,-0.53477012,-0.535004927,-0.534612938,-0.534773663,-0.534667629
0.375,-0.427457563,-0.42819677,-0.427750025,-0.427938128,-0.427949079,-0.427858313
0.3875,-0.331479818,-0.332118209,-0.331740392,-0.331534896,-0.332114989,-0.331797661
0.4,-0.248371023,-0.248708578,-0.248451869,-0.247986442,-0.248835162,-0.248470615
0.4125,-0.178368889,-0.178278703,-0.178288043,-0.177941791,-0.178758302,-0.178327146
0.425,-0.12061053,-0.120294555,-0.120534193,-0.120591204,-0.120842438,-0.120574584
0.4375,-0.073642337,-0.073524128,-0.074272032,-0.074109052,-0.074150603,-0.073939631
0.45,-0.03679468,-0.036692576,-0.037348684,-0.037387657,-0.036958627,-0.037036445
0.4625,-0.007971048,-0.007840277,-0.008402333,-0.008229046,-0.00808056,-0.008104653
0.475,0.01424964,0.014222906,0.013835426,0.014176847,0.014193274,0.014135619
0.4875,0.031091666,0.030722867,0.030944147,0.031466263,0.031127097,0.031070408
0.5,0.043721334,0.043190844,0.043557388,0.043924898,0.043638878,0.043606668
0.5125,0.052625652,0.05215346,0.052765441,0.052909095,0.052464604,0.052583651
0.525,0.058909082,0.058735151,0.059095253,0.059368712,0.058690702,0.05895978
0.5375,0.063124018,0.063131748,0.063294406,0.06364388,0.063161703,0.063271151
0.55,0.0659008,0.065988732,0.065949436,0.066406167,0.065861826,0.066021392
0.5625,0.067284842,0.067324782,0.067487118,0.067722892,0.067470369,0.067458001
0.575,0.068204102,0.068065601,0.068111982,0.067980568,0.068103608,0.068093172
0.5875,0.068222461,0.06779182,0.068105541,0.067925811,0.068252738,0.068059674
0.6,0.067590833,0.066850336,0.067312865,0.067365688,0.067512886,0.067326521
0.6125,0.066454481,0.065789999,0.066275396,0.066464144,0.06655272,0.066307348
0.625,0.06478313,0.064401769,0.065058521,0.064798913,0.065150318,0.06483853
0.6375,0.06307667,0.062934948,0.063492817,0.063248347,0.063571408,0.063264838
0.65,0.061320286,0.061274548,0.061731923,0.061682965,0.06163916,0.061529776
0.6625,0.059646036,0.059746207,0.059659564,0.059848311,0.060352068,0.059850437
0.675,0.057743742,0.058340262,0.057936033,0.057647436,0.058730641,0.058079623
0.6875,0.056048556,0.056348104,0.056284652,0.05576318,0.056661503,0.056221199
0.7,0.05417815,0.054083132,0.05427188,0.053903081,0.054549203,0.054197089
0.7125,0.052413391,0.051879358,0.052550926,0.052023334,0.052472657,0.052267933
0.725,0.050486296,0.04969201,0.050719171,0.050393533,0.050660872,0.050390377
0.7375,0.04873732,0.047742047,0.0489003,0.048231309,0.048488341,0.048419863
0.75,0.046417914,0.045959573,0.046760301,0.046468161,0.046117721,0.046344734
0.7625,0.04420029,0.044622234,0.044418026,0.044490819,0.044059856,0.044358245
0.775,0.042413951,0.042969887,0.042473538,0.042468063,0.042276416,0.042520371
0.7875,0.040348999,0.041290805,0.040619559,0.040606997,0.040270086,0.040627289
0.8,0.038716622,0.039443268,0.038701161,0.038879924,0.038429313,0.038834058
0.8125,0.036891309,0.03751102,0.036928994,0.036857167,0.03683913,0.037005524
0.825,0.034937159,0.03524025,0.035134925,0.034988694,0.035237351,0.035107676
0.8375,0.033220392,0.033340856,0.033280624,0.033374676,0.033337313,0.033310772
0.85,0.031523273,0.031583183,0.031531648,0.03203927,0.031715886,0.031678652
0.8625,0.029669939,0.029665429,0.029940499,0.030356967,0.03012989,0.029952545
0.875,0.02809586,0.027902603,0.028361911,0.028633115,0.028672733,0.028333244
0.8875,0.026659317,0.026349783,0.026510831,0.027011044,0.027003958,0.026706987
0.9,0.024675533,0.024799862,0.024955112,0.025602201,0.025670163,0.025140574
0.9125,0.022989044,0.023218376,0.023484104,0.024219769,0.02412926,0.023608111
0.925,0.022094586,0.022146766,0.022467572,0.022360637,0.022997418,0.022413396
0.9375,0.021105755,0.020620035,0.021255207,0.021054541,0.021225574,0.021052222
0.95,0.019528455,0.019613488,0.019664701,0.019400261,0.019857958,0.019612973
0.9625,0.017974991,0.017820385,0.018090945,0.018230412,0.017838423,0.017991031
0.975,0.016863441,0.016531361,0.016345512,0.016703038,0.016379977,0.016564666
0.9875,0.01536731,0.015217536,0.015155049,0.015400808,0.014950519,0.015218244
1,0.014090525,0.014263813,0.013587735,0.014275408,0.013751037,0.013993704
